store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
1,14,3,2,381,279.43,79.9365,15,0,1,80.82,0,2022,1,6,276,276
2,19,0,1,357,321.57,43.323,20,2,0,45.01,0,2023,1,3,308,317
3,3,2,0,465,222.29,101.9025,20,3,0,97.15,3,2023,1,0,225,218
0,5,4,1,187,36.6,88.90350000000001,0,2,0,84.93,3,2023,5,6,22,31
0,12,3,0,222,189.54,75.9465,5,0,0,67.37,2,2023,12,6,190,185
0,16,1,2,468,74.64,56.7525,10,1,0,50.85,3,2023,5,5,61,68
2,15,4,2,291,247.93,86.99249999999999,15,3,1,82.32,0,2022,12,2,245,242
4,5,4,0,304,43.21,102.4275,5,2,0,101.77,0,2022,5,6,44,36
0,17,3,0,235,190.28,67.2,5,3,1,61.39,2,2023,5,2,185,185
4,7,2,0,244,191.63,23.583000000000002,0,1,0,26.11,0,2023,2,3,177,188
0,0,0,0,395,375.38,51.408,0,1,1,45.07,0,2023,10,4,377,370
1,7,2,3,394,350.77,82.215,20,1,1,81.41,1,2023,3,5,335,345
4,5,4,2,113,81.46,46.389,10,1,0,39.29,0,2022,3,3,67,76
0,1,3,2,279,80.68,28.759500000000003,15,3,1,30.82,3,2022,7,5,62,75
2,0,0,3,468,374.37,69.45750000000001,5,3,1,70.97,0,2023,2,4,383,370
4,16,2,2,210,32.0,65.184,0,1,0,64.39,0,2023,12,3,18,27
4,0,2,1,463,139.78,83.874,15,1,0,78.23,0,2022,4,4,126,135
0,14,3,1,178,50.85,75.684,5,3,0,74.0,2,2022,7,2,33,45
4,5,0,1,174,117.33,56.9415,20,0,1,54.44,3,2022,4,0,123,112
4,8,3,2,403,36.03,19.7505,10,2,1,18.78,0,2023,12,6,41,31
0,4,4,3,197,189.87,28.245,10,3,0,31.53,2,2023,1,0,175,181
3,2,2,1,53,13.96,87.1815,15,0,0,87.63,0,2023,3,0,23,12
3,10,0,3,160,130.45,44.1315,20,1,0,39.96,2,2023,8,2,123,126
3,15,1,0,409,350.91,97.2405,10,3,1,95.95,0,2022,9,3,343,347
2,1,4,1,377,298.91,12.1905,0,0,1,7.66,2,2023,8,3,295,293
1,11,4,0,285,227.24,53.339999999999996,20,2,1,50.97,1,2022,1,3,217,223
3,19,0,0,284,94.83,87.33900000000001,5,3,0,85.43,2,2023,6,6,95,90
2,17,0,2,218,182.3,87.3075,10,3,0,86.18,2,2023,7,1,175,177
2,10,0,0,182,56.83,65.83500000000001,15,2,0,64.28,0,2022,6,4,61,52
3,10,0,0,329,324.83,60.658500000000004,0,2,0,62.4,0,2022,5,6,312,316
2,12,1,2,86,14.75,56.1855,15,0,0,57.6,2,2022,4,4,0,12
1,4,2,0,459,214.97,78.40350000000001,20,1,1,70.82,3,2023,8,5,199,210
4,5,0,0,133,119.68,18.805500000000002,0,1,0,16.98,1,2022,7,1,104,113
0,14,2,1,410,398.23,26.5545,5,2,0,26.33,3,2023,4,1,392,392
4,8,0,3,417,143.62,63.441,15,1,1,62.89,1,2022,11,0,152,137
4,19,4,3,88,107.48,45.92700000000001,5,0,0,38.92,3,2022,8,6,88,93
0,8,0,3,286,287.73,80.115,20,0,1,71.75,3,2022,9,3,276,278
2,6,3,2,397,189.63,37.9575,0,0,0,33.12,1,2023,10,6,198,185
3,16,2,1,90,0.33,74.0565,20,1,1,68.41,1,2023,9,5,9,5
1,6,4,2,112,83.14,62.569500000000005,10,3,0,64.49,1,2022,4,6,65,78
3,8,1,3,235,15.52,47.9325,10,3,0,45.95,3,2022,4,5,1,13
0,3,4,0,141,104.57,67.0635,10,3,0,66.21,3,2023,12,0,112,98
4,15,4,2,193,53.92,37.695,0,0,1,32.2,3,2023,8,1,53,50
4,1,4,1,285,136.79,48.667500000000004,15,0,1,44.4,1,2022,10,5,121,133
3,5,2,1,307,141.5,74.718,15,0,1,73.28,1,2023,7,2,149,137
0,11,1,0,316,54.57,54.73650000000001,0,2,1,48.05,1,2022,12,5,52,49
4,16,4,0,54,44.76,33.3795,20,2,0,32.69,0,2023,4,1,47,39
2,6,0,1,330,286.45,92.79899999999999,15,1,0,86.08,1,2023,8,3,283,283
0,3,2,3,62,58.09,69.8985,10,2,1,70.33,0,2023,6,3,55,51
3,5,4,1,317,139.57,19.257,0,1,1,13.88,2,2023,12,1,138,135
3,11,3,0,110,84.49,65.2995,0,0,1,57.31,1,2022,4,6,83,81
1,0,4,2,81,20.12,94.41600000000001,20,3,0,92.94,3,2023,3,0,14,15
1,1,0,1,110,46.58,58.632000000000005,20,1,0,52.66,2,2022,8,2,45,41
3,14,1,1,420,198.26,91.203,10,3,0,84.27,0,2022,5,1,186,194
1,9,0,1,326,16.08,84.4935,20,2,0,82.81,2,2023,11,3,1,13
3,16,1,1,65,43.84,61.3515,20,3,1,57.12,1,2023,12,4,30,39
1,17,2,1,81,94.16,83.643,10,1,1,77.47,1,2023,4,5,79,79
