store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
3,11,0,1,279,88.52,15.54,15,1,1,11.0,1,2023,4,1,91,83
1,9,2,0,417,321.16,67.25,5,1,0,65.48,1,2022,9,6,324,317
3,6,1,3,236,38.9,52.64,20,1,1,57.61,0,2022,12,4,37,34
3,8,2,2,399,87.19,30.37,0,1,0,34.22,0,2023,12,0,74,82
1,8,0,0,321,115.15,48.77,5,1,0,49.16,0,2022,7,6,111,110
0,16,2,2,165,34.64,96.4,15,1,0,92.1,1,2022,8,1,32,30
1,10,4,2,481,355.64,56.76,10,3,1,55.94,2,2022,1,0,345,351
0,0,2,0,423,338.0,87.79,0,3,0,86.17,1,2022,7,6,322,336
1,19,2,1,171,60.1,11.6,5,1,0,10.89,3,2023,7,4,43,55
4,5,3,1,438,45.14,68.13,20,1,0,63.7,3,2022,2,5,46,40
4,4,0,3,332,288.72,66.44,0,3,0,68.41,2,2022,10,4,281,284
0,12,1,0,183,155.91,84.83,0,2,0,85.74,1,2022,1,3,144,150
3,3,0,1,370,82.46,18.88,15,2,1,18.72,3,2023,10,6,67,77
1,13,1,0,218,191.5,93.67,20,2,1,97.37,0,2023,5,6,196,188
0,13,0,1,495,54.08,77.73,10,1,0,79.84,0,2022,12,0,50,49
0,4,1,2,235,166.81,75.31,0,1,1,78.99,0,2022,5,4,158,162
0,1,3,0,119,26.23,19.6,15,0,1,21.29,3,2023,4,6,10,22
0,2,2,1,280,238.87,13.33,20,0,0,11.87,2,2023,8,6,230,234
2,17,0,1,375,329.01,92.44,20,2,1,95.77,3,2022,2,1,327,326
0,2,3,3,113,94.15,93.01,5,2,0,93.24,0,2022,7,1,88,89
2,6,0,3,383,202.85,31.67,15,3,0,34.52,2,2022,11,5,190,197
4,19,2,0,445,220.09,17.26,5,3,1,14.58,0,2022,1,6,214,215
3,16,4,3,228,15.02,79.49,15,2,0,79.11,2,2022,10,1,6,13
0,9,0,0,324,111.02,63.67,0,2,0,60.13,0,2022,1,0,113,106
1,4,2,0,89,68.84,16.51,5,1,1,20.03,1,2023,8,6,68,65
1,16,2,1,248,77.69,18.76,10,0,0,17.7,1,2022,11,4,86,73
1,3,0,2,149,116.2,40.14,0,1,1,39.68,3,2023,12,6,99,111
0,14,3,3,237,148.7,50.22,15,2,0,50.64,0,2022,11,5,130,143
2,4,1,3,202,187.73,18.09,15,1,1,13.31,1,2022,3,3,197,182
4,12,3,0,281,164.81,54.29,0,3,0,53.95,3,2022,12,4,157,160
4,14,2,3,126,36.22,43.73,0,3,0,43.84,1,2023,6,0,31,31
1,13,3,1,67,49.75,62.05,15,0,1,63.65,0,2022,4,3,46,45
0,0,3,1,82,80.63,49.01,15,0,1,45.88,3,2022,7,4,63,71
2,12,4,1,274,283.96,43.25,15,0,0,40.35,3,2022,3,2,271,271
1,9,1,3,253,92.42,98.92,5,0,0,97.73,0,2023,1,2,75,87
4,1,2,0,234,62.08,80.38,15,2,1,84.56,0,2023,5,6,43,57
2,13,1,1,241,155.31,60.38,20,3,0,60.84,0,2023,11,6,144,151
4,4,2,1,495,330.32,25.37,0,2,0,23.85,3,2022,6,2,315,324
4,13,2,1,414,325.04,62.48,10,2,0,59.77,2,2022,7,3,308,319
0,8,1,1,157,135.75,86.42,10,2,0,87.81,3,2023,12,2,143,131
4,4,3,2,317,70.81,51.25,20,3,1,55.29,1,2022,1,3,80,66
2,16,3,2,249,104.24,93.32,5,3,0,93.87,3,2023,4,0,110,100
3,4,3,0,383,62.39,41.83,10,0,0,43.41,0,2023,5,6,58,58
2,15,0,3,489,305.22,87.17,10,0,0,92.16,0,2022,12,3,294,301
3,6,4,1,131,122.35,78.55,5,1,1,75.65,2,2022,8,1,121,117
3,5,0,0,219,135.05,13.61,5,0,1,18.42,1,2022,9,4,121,131
3,15,1,2,145,106.6,34.72,15,3,0,30.75,3,2022,2,6,96,101
0,19,0,1,297,141.25,80.41,20,2,1,79.75,2,2022,5,6,125,137
1,7,4,0,96,63.09,26.7,5,0,0,25.75,1,2023,6,0,51,59
0,3,0,1,386,29.34,43.29,15,3,0,45.77,3,2022,7,5,34,24
0,7,4,1,118,49.09,88.0,5,1,0,92.21,3,2023,1,5,33,44
3,17,2,1,376,20.68,19.43,5,3,1,18.64,1,2022,11,2,15,16
4,9,1,3,348,75.42,89.18,0,2,0,84.2,1,2023,10,5,80,71
2,10,1,0,341,167.42,45.41,5,2,0,42.6,2,2022,9,3,161,163
4,16,0,1,322,69.11,86.81,20,3,1,86.55,3,2022,6,5,50,65
1,19,0,0,400,89.68,42.45,20,1,1,44.87,1,2023,7,3,76,85
1,12,0,1,87,76.31,59.9,0,0,1,62.61,1,2022,8,6,59,72
0,15,4,0,116,83.5,54.26,0,0,0,53.41,2,2022,10,2,69,78
4,18,2,1,316,45.86,18.23,15,2,1,19.3,2,2023,8,1,33,40
4,6,1,3,209,27.24,96.13,20,2,1,93.05,3,2023,4,5,33,22
3,2,0,1,246,214.69,85.82,5,1,1,82.95,0,2022,5,2,203,209
0,0,3,2,85,52.87,77.88,15,0,1,75.99,3,2022,1,1,58,49
0,8,1,3,346,95.57,28.57,20,2,0,28.44,1,2023,12,1,96,91
3,9,2,2,55,61.18,63.23,0,0,0,64.42,3,2023,11,3,52,48
2,15,4,1,412,141.82,68.12,15,0,0,67.37,1,2023,9,5,150,137
4,8,4,3,418,356.75,54.77,10,1,0,51.85,0,2022,5,3,360,352
0,6,2,1,373,265.09,50.73,10,2,0,54.97,3,2023,3,2,259,260
1,6,4,0,58,26.59,32.2,10,3,1,33.32,2,2022,8,3,34,22
4,17,1,1,104,6.52,22.45,20,0,0,24.26,0,2023,7,5,15,8
4,19,4,0,121,87.04,64.19,20,1,1,64.16,1,2022,7,5,82,82
4,12,3,2,430,8.67,78.48,5,0,1,76.72,0,2022,8,0,16,10
4,3,4,0,292,24.55,20.94,15,3,1,20.62,1,2023,11,5,8,19
0,0,4,3,82,69.85,42.04,5,3,1,46.55,2,2023,11,2,55,64
0,6,0,0,448,190.17,39.2,5,0,1,36.33,1,2023,4,6,175,185
4,18,1,3,139,147.05,68.11,10,0,1,63.25,0,2023,1,2,137,133
0,7,1,0,466,398.87,46.36,10,3,1,44.37,1,2022,5,2,398,397
4,3,2,2,147,57.69,75.25,10,3,0,73.33,0,2023,6,0,59,53
1,3,4,1,468,312.3,71.0,0,0,0,68.77,1,2023,9,3,306,308
4,8,4,2,215,-3.15,13.24,0,1,1,13.73,1,2023,1,4,5,3
2,0,1,0,180,48.62,62.16,10,0,0,66.32,0,2022,3,2,36,43
3,7,1,0,466,237.1,85.06,15,1,1,86.86,3,2022,9,6,218,232
3,10,1,1,190,161.24,24.22,5,0,0,20.33,2,2023,6,4,151,156
0,6,0,2,291,226.48,61.94,15,2,1,60.89,2,2022,3,5,236,221
4,10,3,0,67,18.3,63.91,10,0,0,67.85,2,2023,5,0,15,14
3,3,0,0,216,74.59,32.32,10,3,1,34.19,3,2023,7,0,59,69
2,11,4,1,185,107.62,68.11,10,0,0,68.63,0,2022,11,0,107,103
2,9,4,0,400,390.32,41.29,0,2,1,40.15,1,2023,11,2,387,383
4,17,0,1,203,10.86,93.44,10,1,1,90.86,1,2023,10,1,2,10
0,1,4,2,369,72.91,44.58,0,2,0,42.52,1,2022,6,4,74,68
4,7,4,3,71,6.73,94.68,0,2,1,98.08,3,2022,12,5,8,9
3,9,0,3,116,121.4,55.63,0,2,1,57.41,1,2023,4,5,105,108
2,1,2,0,470,361.55,53.76,15,2,1,55.03,1,2023,2,1,342,356
4,14,2,1,208,182.26,90.36,10,2,1,92.81,3,2022,1,6,174,177
3,0,0,2,390,189.31,27.53,15,2,1,22.55,2,2022,3,1,189,185
2,1,0,1,205,147.66,14.1,5,2,0,17.65,0,2023,1,6,146,143
2,15,4,0,137,32.89,94.06,5,3,0,98.1,0,2023,4,3,38,28
4,13,3,1,122,53.24,12.86,20,2,0,17.0,3,2023,2,5,35,48
3,11,2,0,99,53.46,23.61,15,3,1,24.37,3,2023,8,6,55,50
2,13,0,1,179,174.23,51.27,10,2,1,47.85,0,2023,12,6,179,167
2,2,0,3,446,105.24,84.12,0,2,1,87.43,0,2023,2,6,115,100
