store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
3,3,3,2,270.2730899192979,146.61,96.38,5,3,1,99.12,3,2022,3,3,141,142
2,18,3,2,77.22088283408512,108.93,43.2,0,1,0,45.87,2,2023,9,4,105,94
0,13,4,1,293.9812557016925,411.15,24.31,20,2,0,24.54,2,2023,6,2,417,394
4,2,1,3,266.2088329280303,159.88,47.55,20,1,0,45.95,1,2022,6,5,153,155
1,12,1,0,237.75903398915682,79.9,89.51,0,3,0,86.12,1,2023,6,3,74,74
3,19,3,3,50.803212390845474,18.98,86.99,5,2,1,91.75,0,2022,10,6,14,13
3,12,3,2,66.38286419070475,33.6,40.66,5,2,0,42.7,1,2022,6,5,42,30
2,4,1,3,170.6987936332408,87.26,40.97,5,3,0,39.39,0,2022,2,6,77,83
1,0,4,0,110.4123149294375,55.61,76.47,15,2,0,79.28,3,2022,6,3,42,50
1,14,3,2,164.60240814633934,205.48,47.25,20,1,0,46.55,0,2022,4,1,189,190
4,4,2,3,130.05622372056442,97.85,37.59,0,3,0,32.8,0,2023,6,6,80,92
4,13,3,1,92.12315846873312,53.33,24.31,5,0,1,20.43,2,2023,12,0,45,49
2,14,0,0,319.0441738145096,203.04,24.12,20,0,1,25.32,2,2023,6,1,208,198
1,6,1,0,35.90093675619747,15.04,25.71,15,1,1,25.33,0,2023,10,6,15,13
3,7,0,3,207.27710655464952,149.33,68.19,5,3,0,70.41,1,2023,12,0,158,143
3,12,2,2,157.15127032901532,193.56,89.84,20,2,1,88.55,1,2022,11,3,175,178
3,18,2,0,94.83266312957822,40.14,53.1,5,0,0,52.92,3,2022,2,3,36,35
1,12,2,1,296.69076036253756,240.28,54.09,15,3,0,50.52,2,2022,5,6,242,235
2,15,3,3,279.0789800670445,127.39,71.15,5,0,0,70.21,0,2023,8,5,110,123
0,18,0,0,219.46987752845246,151.23,79.24,20,0,1,76.69,3,2023,3,4,133,147
4,2,1,1,182.21418844183242,57.26,39.48,15,3,0,39.27,1,2023,8,1,42,52
2,8,2,1,110.4123149294375,125.39,96.78,15,1,0,97.9,3,2022,9,3,123,112
1,14,4,2,203.2128495633819,247.33,93.22,0,1,1,91.2,3,2023,11,4,243,230
0,18,2,3,303.4645220146503,232.54,71.81,5,1,0,74.89,2,2023,4,3,214,228
1,9,3,2,56.89959787774693,62.96,79.72,10,3,1,84.47,0,2023,3,3,69,51
3,14,0,3,212.01873971112843,300.03,28.63,20,1,0,28.02,3,2023,1,3,292,282
0,18,1,0,321.75367847535466,137.44,43.64,20,1,0,39.39,1,2023,5,5,143,133
2,13,4,2,300.7550173538052,388.1,81.3,10,1,1,81.89,3,2023,5,0,398,369
4,1,0,1,96.18741546000076,42.77,34.66,20,1,1,32.2,3,2023,11,1,32,37
0,10,4,2,262.14457593676264,32.05,85.32,20,3,0,84.52,0,2022,5,3,26,29
0,12,0,2,299.40026502338264,259.59,77.59,10,0,0,80.72,1,2023,4,4,263,256
0,6,3,3,299.40026502338264,271.23,14.89,5,0,1,11.91,3,2022,10,4,265,265
4,6,0,3,201.18072106774807,281.16,79.66,20,1,1,82.67,0,2023,8,4,282,263
0,19,1,1,102.96117711211349,44.85,34.39,15,2,1,35.56,2,2022,10,2,48,40
0,19,3,3,278.4016039018332,38.1,12.5,5,0,0,14.6,3,2023,5,1,42,33
2,18,3,3,315.6572929884532,352.37,55.02,15,3,1,58.69,3,2023,6,4,340,337
1,18,3,3,209.98661121549463,306.64,86.39,5,0,0,88.94,2,2022,8,2,307,292
1,11,1,2,137.5073615378884,61.19,58.77,5,2,0,57.24,1,2022,8,3,53,56
4,10,3,2,134.12048071183204,20.82,31.61,10,0,1,36.25,3,2023,4,4,16,16
