store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
3,19,0,0,232,83.43,25.87,5,2,1,25.65,3,2022,2,1,71,78
0,10,1,3,461,72.63,11.65,5,2,1,7.41,0,2023,9,6,70,67
2,11,3,0,329,159.28,90.12,5,3,1,90.49,1,2022,7,2,157,154
3,13,1,3,259,153.3,66.37,20,1,0,62.31,3,2023,3,4,144,148
3,7,1,1,141,109.22,58.22,20,3,0,62.91,2,2023,4,5,94,104
0,7,3,1,185,123.74,90.29,0,0,0,91.4,0,2023,11,3,110,119
1,14,3,1,86,56.34,77.73,20,0,0,73.41,1,2023,10,2,52,52
2,2,0,1,378,214.21,85.5,10,3,0,87.7,2,2023,2,5,217,210
3,6,0,2,484,69.73,44.19,5,3,0,45.32,1,2023,6,2,64,65
1,11,3,3,105,63.16,97.02,10,0,0,93.52,1,2023,5,2,52,58
4,4,4,1,50,45.98,60.17,5,0,1,62.99,3,2023,8,4,37,40
2,16,4,3,129,145.85,21.46,15,1,1,22.61,3,2023,9,3,129,130
2,17,1,0,250,-5.1,69.38,10,2,1,66.62,3,2022,9,3,2,3
4,10,2,3,253,240.22,75.81,10,3,1,80.03,3,2022,12,2,225,234
3,9,3,0,412,72.67,12.89,0,2,1,13.92,0,2022,1,2,53,68
3,6,0,2,304,116.83,23.21,10,2,0,24.51,0,2023,12,4,117,112
3,12,1,1,472,211.89,95.6,20,1,0,99.15,1,2023,7,5,206,207
0,7,3,1,89,29.64,85.58,5,3,0,86.36,0,2022,12,3,12,25
4,0,1,3,107,24.11,63.75,15,3,1,64.83,0,2022,9,4,8,19
3,1,3,3,375,233.24,72.15,5,1,0,73.67,3,2022,10,1,218,228
0,5,4,2,177,154.92,35.59,0,3,1,32.46,3,2023,6,3,149,149
3,2,3,3,366,193.59,42.72,0,1,0,38.37,1,2022,1,1,175,188
4,11,3,3,337,184.48,67.82,15,1,1,70.69,3,2023,12,4,194,181
0,13,2,2,294,110.24,44.68,10,1,0,44.78,0,2022,7,0,117,105
0,0,3,1,470,385.57,52.62,15,1,1,52.38,2,2022,9,3,380,381
1,6,1,0,127,27.39,88.67,0,3,1,86.49,2,2022,7,0,28,22
0,19,3,3,240,167.46,74.17,5,1,0,78.02,3,2022,12,2,169,163
2,19,4,3,207,100.4,94.55,10,0,0,93.66,1,2022,7,0,81,95
0,7,4,1,383,175.58,79.0,15,2,0,81.72,1,2022,3,2,163,171
1,15,1,2,168,60.3,41.81,10,1,1,40.97,1,2023,7,1,59,56
1,9,2,1,470,276.15,73.74,5,3,0,68.92,0,2023,7,0,266,270
4,5,0,2,307,244.01,99.48,15,2,1,103.65,3,2023,12,6,250,243
3,5,4,2,169,112.48,28.44,10,3,1,32.85,3,2022,7,4,107,107
2,3,1,3,194,14.12,26.41,10,0,0,24.28,2,2023,12,0,13,11
0,6,2,3,320,296.18,51.99,10,2,0,50.94,2,2022,4,3,289,292
1,1,1,2,287,189.41,83.79,15,3,1,86.0,2,2022,12,1,189,185
2,12,1,0,174,23.02,65.12,5,0,0,67.3,2,2023,5,2,26,18
2,8,2,1,302,221.4,57.76,5,1,0,54.12,1,2022,7,2,220,216
2,16,1,3,387,332.97,87.03,20,3,1,83.56,3,2022,9,3,342,331
2,13,4,0,288,82.07,25.67,0,0,1,26.57,2,2023,4,3,73,78
4,2,1,1,133,64.72,95.53,15,0,1,94.51,3,2022,3,1,63,60
3,16,4,1,368,106.97,73.65,15,2,0,78.14,1,2023,6,3,90,102
1,5,3,1,58,36.74,47.39,20,3,0,52.1,2,2023,6,1,42,31
0,19,0,0,224,58.21,16.08,5,1,0,12.82,2,2022,6,6,40,53
0,6,4,3,166,43.99,12.42,5,2,0,7.96,3,2023,4,1,37,39
1,3,4,1,340,107.19,33.06,10,3,1,30.62,0,2022,7,4,116,103
0,0,4,3,419,91.26,68.59,10,1,0,65.66,1,2023,4,3,72,85
2,14,3,2,267,251.28,69.17,0,2,0,72.53,3,2023,12,0,260,245
3,18,2,3,68,28.72,63.08,5,3,0,61.87,0,2022,9,4,31,24
4,2,1,0,99,47.32,33.32,10,2,1,33.95,2,2023,8,5,56,43
4,13,2,1,330,322.02,36.95,10,1,0,37.61,1,2022,10,5,311,315
1,10,1,1,50,35.96,21.19,10,0,0,21.96,3,2023,12,5,29,31
0,9,3,3,250,164.57,56.83,10,0,1,52.63,0,2023,11,6,173,159
2,12,3,1,337,268.73,79.88,15,3,0,81.56,1,2022,8,0,268,263
3,8,4,3,368,195.2,86.06,15,0,1,87.94,3,2023,6,2,185,190
1,13,3,0,73,62.08,74.77,20,1,0,76.81,1,2022,4,5,54,57
1,11,2,3,247,74.0,10.91,0,3,0,7.51,1,2022,3,0,58,67
0,5,4,0,361,128.48,60.72,10,2,1,64.73,2,2023,12,2,109,123
