store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
1,9,3,1,497.99850510793175,567.0526130107719,66.11236114636903,57,0,0,116.88497490265203,2,2023,2,2,406,484
1,6,3,1,73.42330085688094,56.45378327388616,54.74243706106109,27,1,0,61.01468631475455,3,2023,5,6,92,53
3,19,2,3,464.56405542612305,-40.946766173545,20.586340009482367,13,0,0,32.031136969794126,1,2023,8,4,46,3
1,11,4,1,191.51860965770732,80.46924200955594,78.57910143523759,20,2,1,38.39888500727087,0,2023,7,6,235,75
1,2,2,2,61.41481563540978,-78.27217568133486,40.241704062553815,26,2,0,51.124792298025625,3,2023,10,3,37,2
1,9,4,1,207.49093127460276,189.34206856403478,68.85584536493762,33,1,0,51.101496075184116,3,2023,10,4,158,186
3,4,1,3,121.2571232493973,178.60102819510422,35.79766274344371,46,0,0,98.32757687776346,0,2023,11,1,63,162
2,19,2,1,55.65591837367602,34.41404121815052,47.77368862384269,32,0,0,93.93871371114835,2,2023,1,1,86,30
2,3,4,2,201.40013180192074,121.02776930091642,40.04965882403617,43,1,0,39.271405728725014,0,2023,4,6,210,115
2,15,0,1,221.78521037786155,234.38659728175259,124.26360220689625,41,1,1,89.7057988005498,3,2023,2,1,184,224
0,13,3,2,349.9481423866468,-4.652249303370425,13.927945335511676,45,0,1,19.852500290512275,1,2023,10,0,207,3
1,11,1,1,47.50639670612575,273.61729928323183,59.8080379871612,29,0,1,141.305470910438,0,2023,11,0,143,256
2,7,2,2,438.0245538023446,114.6956816394766,48.397467347191736,39,1,0,56.376171802835565,1,2023,11,0,19,108
4,8,2,2,67.32146608938318,75.11227276005704,18.230077574797875,26,2,0,8.791875025894727,0,2023,8,0,11,64
2,14,4,2,272.1930225869868,80.85289830723083,119.2581881903704,45,1,0,60.54100623223269,0,2023,5,5,260,76
0,10,2,2,75.66885697835437,270.7026191744536,116.17982642584865,30,0,1,76.89343385218966,3,2023,10,6,183,257
2,18,2,0,183.69945635647537,279.5822677448098,121.50867389652677,30,3,0,67.78247447229842,3,2023,12,4,106,268
3,5,4,3,356.45213719033023,137.98398799374542,56.06767829873785,45,1,0,56.64486897197816,2,2023,10,0,65,133
3,16,2,0,234.9121090096132,235.56246986833764,122.6685940167553,36,0,1,137.0609721017568,0,2023,2,6,168,223
1,18,2,3,208.11900052833548,147.51604649810233,82.57511416519182,50,1,1,54.090995140096375,2,2023,9,4,70,143
0,3,1,1,304.54155317274876,437.0304267144834,65.72996991972354,46,0,1,97.33939136144694,0,2023,2,3,255,420
3,10,0,0,105.5769292489208,98.07575099574964,21.5367513593268,21,2,0,58.589745700645175,3,2023,8,6,61,90
1,8,3,0,85.4227959157305,153.81934279668423,57.46747325676423,31,0,0,62.77713144965261,2,2023,6,5,131,136
0,3,4,3,253.58162590346728,375.9933926541122,123.33953103661601,54,3,1,90.94290815488256,1,2023,3,4,395,361
2,11,3,1,68.27344655232937,25.95886192517156,21.053852702873694,46,2,0,53.02808076465276,2,2023,6,3,63,23
1,6,4,1,266.4006303064091,-1.345403401102466,16.711934398276373,66,2,0,9.438375034390438,3,2023,12,0,42,1
2,4,4,0,213.23253206939899,420.37017543489304,16.596727944886265,33,2,1,16.57839134510341,0,2023,11,0,343,404
4,19,1,3,60.61431316991659,83.88476718038307,78.88496829574254,21,1,1,108.20222030530334,0,2023,6,4,111,68
2,2,4,0,411.4807499058203,231.6083751997168,163.88210292141684,58,2,0,54.758817609714775,1,2023,4,5,260,224
2,8,4,0,58.03752202789863,62.48054622602582,65.16042576848969,52,0,0,64.18762011861278,2,2023,10,0,93,54
2,19,0,2,173.85290128766445,461.7280041012508,87.41209531279539,42,3,0,104.30088404373058,1,2023,7,0,264,442
1,15,3,0,178.12786096355413,60.25452277636914,36.9941992922207,41,1,1,13.951217532379541,1,2023,8,4,36,56
2,7,1,2,224.11663430066807,318.2535096281519,104.84876521187627,45,0,1,48.773897205911766,2,2023,7,6,240,308
1,15,1,2,124.27945645208843,250.4684398902692,98.38033397176929,56,1,1,60.532335780380286,3,2023,8,5,202,236
3,3,2,2,34.56378911162943,18.19865329013603,35.444428010120276,28,3,0,63.580403471491756,3,2023,7,5,12,13
3,7,2,2,211.28141932618743,-51.52755271191796,89.61730195736827,29,1,0,55.13540710876728,2,2023,8,1,0,2
