store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
4,5,4,1,69,15.16,34.4295,0,1,0,30.51,2,2022,8,1,21,13
4,19,3,2,303,98.94,63.105000000000004,15,2,1,65.07,3,2022,12,6,95,94
1,5,1,3,430,144.51,22.1865,20,3,0,17.0,0,2022,3,4,150,139
1,12,3,2,466,309.97,93.87,5,0,1,89.46,1,2022,6,6,313,306
0,6,1,0,466,458.97,90.888,5,1,0,90.71,0,2022,1,0,466,455
0,8,1,2,89,34.22,70.1925,5,3,1,69.67,0,2022,3,1,20,30
0,19,2,1,403,361.58,104.2125,5,0,0,101.65,3,2023,1,6,352,357
4,1,4,2,297,227.62,15.9495,10,2,0,13.69,1,2022,4,1,221,224
0,5,0,2,81,60.67,27.573000000000004,20,3,0,26.11,0,2022,2,2,44,56
3,10,3,1,448,119.84,87.843,0,0,1,85.45,0,2022,9,1,114,114
1,17,4,3,499,50.98,16.968,15,2,1,20.61,1,2022,6,6,57,44
3,14,4,2,100,108.16,17.167500000000004,5,3,0,15.41,1,2022,11,1,96,95
3,9,3,3,485,312.01,22.89,5,2,1,19.64,2,2023,6,5,316,307
2,2,1,1,317,232.78,23.7405,0,2,1,24.99,1,2022,4,3,233,228
0,7,2,0,411,57.99,19.005000000000003,10,2,1,13.57,1,2022,10,1,46,53
3,0,1,2,291,180.42,82.2675,0,3,0,80.52,1,2023,10,0,170,175
1,4,4,1,190,34.22,70.896,15,3,1,62.98,3,2023,9,3,26,29
2,6,0,1,429,135.9,68.02950000000001,10,0,1,62.78,0,2022,8,0,117,131
3,16,3,0,65,35.68,96.6525,0,2,1,87.8,3,2023,4,5,41,31
3,11,2,2,410,17.04,101.15700000000001,20,3,0,93.7,1,2022,7,4,9,12
0,6,0,3,167,102.77,53.728500000000004,10,1,1,56.01,0,2022,4,1,99,97
