store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,3,0,3,140.0,33.61,64.98649999999999,15,3,1,64.41600000000001,3,2022,4,0,38,29
2,14,2,2,80.0,16.35,29.485999999999997,25,2,1,32.109,3,2023,4,4,19,13
0,13,0,1,384.8,310.44,31.521499999999996,10,2,1,31.174000000000003,0,2022,11,1,300,305
3,2,2,0,88.80000000000001,91.08,69.1725,5,3,0,66.88,0,2022,10,5,90,81
1,15,3,2,244.0,236.49,19.113,20,0,1,15.719000000000001,0,2022,6,5,238,230
4,3,1,0,108.80000000000001,33.3,39.31849999999999,5,3,1,41.547000000000004,2,2022,11,3,19,29
3,17,1,2,209.60000000000002,212.54,28.048499999999997,20,3,1,26.686000000000003,0,2022,8,2,222,202
0,11,4,3,208.8,251.36,46.459999999999994,15,2,0,48.532000000000004,3,2023,10,3,249,233
4,10,0,2,118.4,136.25,19.2395,20,3,1,22.121000000000002,2,2023,1,6,129,122
1,9,4,1,188.8,119.9,49.035999999999994,5,0,1,50.23700000000001,2,2022,2,0,115,114
0,8,4,3,178.4,56.93,102.70649999999999,10,1,1,95.931,3,2023,6,0,39,52
3,17,3,3,48.800000000000004,60.16,56.648999999999994,15,0,1,51.18300000000001,1,2022,11,3,45,48
2,8,3,0,328.8,98.29,62.893499999999996,20,0,1,55.011,1,2023,7,1,83,93
0,0,3,0,331.20000000000005,318.92,18.940499999999997,5,2,1,20.537000000000003,0,2022,10,4,317,313
2,9,0,1,261.6,307.73,35.765,15,0,0,34.265,1,2023,2,4,295,293
4,4,4,3,347.20000000000005,28.53,54.75149999999999,20,0,1,50.446000000000005,2,2022,10,6,29,23
2,1,1,3,391.20000000000005,211.52,24.9205,20,0,1,23.386000000000003,2,2023,1,4,192,207
2,5,3,1,335.20000000000005,81.77,82.75399999999999,10,1,1,82.06,0,2022,5,2,86,77
4,19,2,0,356.0,220.09,19.849,10,3,1,16.038,0,2022,1,6,214,216
2,19,4,1,151.20000000000002,51.87,31.279999999999998,10,0,0,25.982000000000003,2,2023,12,1,57,46
0,3,1,2,396.0,57.3,100.45249999999999,25,2,1,92.86200000000001,2,2022,6,2,58,53
2,17,4,2,276.0,70.92,62.525499999999994,20,3,1,59.004000000000005,2,2023,7,5,71,65
1,3,4,1,374.40000000000003,312.3,81.64999999999999,5,0,0,75.647,1,2023,9,3,306,308
0,13,0,2,137.6,125.89,39.053999999999995,10,0,1,38.511,0,2023,9,1,124,121
1,1,1,1,40.800000000000004,19.82,36.19049999999999,25,0,1,33.176,3,2022,2,6,28,15
2,5,1,3,163.20000000000002,43.22,39.79,10,0,0,40.326,2,2023,8,6,44,38
1,13,0,3,101.60000000000001,114.09,68.64349999999999,25,0,0,69.34400000000001,2,2022,6,4,115,99
3,18,3,0,165.60000000000002,178.36,35.098,15,3,0,37.994,0,2022,4,1,177,165
3,7,4,0,397.6,24.83,111.79149999999998,15,0,0,107.56900000000002,3,2023,7,3,22,16
4,16,2,1,239.20000000000002,221.71,13.616,20,3,0,8.921,3,2023,4,5,215,215
2,3,0,3,372.0,178.89,42.354499999999994,15,2,1,44.957,2,2022,3,5,187,172
4,17,2,0,302.40000000000003,60.27,106.55899999999998,25,0,0,98.285,2,2023,11,4,50,57
2,10,4,2,244.0,263.59,20.0445,10,1,0,14.146,1,2023,12,1,254,250
0,18,4,2,88.0,14.72,96.24349999999998,20,0,1,92.67500000000001,3,2023,6,4,5,12
2,9,4,3,170.4,40.92,71.967,25,3,0,65.27400000000002,3,2022,11,6,22,35
0,3,0,3,396.0,473.48,82.32849999999999,10,1,1,79.87100000000001,3,2022,8,2,475,453
4,0,4,0,380.8,156.0,24.517999999999997,25,2,1,24.497,3,2022,5,5,156,152
1,10,0,1,120.80000000000001,29.34,98.6585,10,1,0,98.36200000000001,0,2022,4,1,15,24
3,17,4,1,115.2,63.1,29.7275,5,0,0,26.796000000000003,1,2023,3,4,58,58
1,2,3,0,165.60000000000002,161.55,57.959999999999994,10,3,0,53.713,0,2023,9,3,147,153
3,15,0,3,304.0,317.56,64.57249999999999,10,2,0,65.505,3,2023,9,5,305,306
3,11,4,2,148.8,177.03,30.543999999999997,20,3,0,30.855000000000004,3,2023,5,1,184,161
3,19,4,1,253.60000000000002,132.35,48.7025,10,2,1,45.91400000000001,1,2023,10,1,140,128
4,17,1,3,242.4,112.34,58.512,20,2,1,60.159,3,2022,10,1,93,106
2,4,4,2,68.0,70.05,56.06249999999999,5,2,0,54.428000000000004,0,2023,7,3,71,61
4,5,3,0,302.40000000000003,95.45,99.01499999999999,10,2,1,93.54400000000001,2,2023,5,5,92,91
0,12,2,0,264.0,330.09,21.895999999999997,25,1,1,19.833000000000002,1,2022,7,4,323,314
0,5,1,3,40.0,27.77,98.76199999999999,5,1,0,95.183,3,2023,12,5,31,23
1,12,1,1,194.4,177.78,53.48649999999999,5,3,1,52.976,2,2022,12,0,181,172
1,0,3,3,322.40000000000003,350.35,65.872,20,2,1,63.492000000000004,0,2022,9,1,335,335
4,9,3,0,264.8,300.53,52.5665,5,3,1,54.032000000000004,1,2022,3,4,299,285
1,2,2,2,98.4,16.92,73.95649999999999,10,1,1,74.811,3,2023,6,0,26,14
2,0,4,1,369.6,182.76,77.36049999999999,5,1,1,76.263,0,2023,4,4,169,178
1,10,3,3,194.4,47.93,87.56099999999999,5,3,0,85.778,0,2023,3,6,52,42
0,13,4,2,173.60000000000002,57.46,29.9805,5,3,0,24.805000000000003,3,2022,1,1,57,52
3,1,1,1,220.8,130.29,95.40399999999998,20,0,0,90.65100000000001,1,2023,1,3,113,126
2,0,3,2,200.8,250.31,14.984499999999999,5,0,0,9.075000000000001,1,2023,6,5,243,233
0,14,3,0,76.0,42.46,66.76899999999999,10,1,1,58.784,1,2022,9,6,50,37
