store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,7,3,0,430.06389816154723,454.47,49.98,23,1,0,49.16395424958253,2,2023,6,6,451,444
0,12,2,2,182.33972555885728,191.63,60.89,13,0,0,60.3283458137721,0,2023,2,2,178,180
1,4,4,2,289.16501932061203,100.71,35.32,13,0,1,30.104149296325893,2,2022,1,5,107,95
0,11,2,2,326.0013275143206,114.21,47.56,8,3,1,45.66411603384403,0,2022,4,4,105,108
3,0,1,0,84.72350884552965,80.86,60.52,13,0,1,54.316750356131564,1,2022,8,3,79,73
1,13,0,0,251.4078034220608,275.64,95.66,13,0,1,90.70029275721255,0,2023,7,4,258,260
1,17,2,2,417.17119029374925,277.05,69.37,18,2,1,60.91011311612441,3,2022,4,3,264,270
4,14,0,2,71.83080097773166,47.29,29.16,23,1,1,26.493498261091712,2,2023,8,1,34,42
1,18,0,0,75.51443179710252,19.58,28.76,23,0,1,23.23375448759385,3,2022,3,1,11,15
3,14,2,3,82.88169343584423,86.08,13.71,13,2,1,14.811980205922309,3,2022,12,5,68,77
1,14,3,2,310.34589653199447,208.92,35.42,8,2,0,36.24502637671139,2,2023,3,5,192,204
4,14,1,2,105.90438605691206,-1.16,86.5,8,0,1,83.84836675172978,0,2022,7,4,6,5
0,15,2,2,58.017185405090956,67.42,38.47,3,3,1,33.493174692568715,3,2023,4,1,62,55
3,12,2,0,420.8548211131201,444.34,68.99,3,2,1,61.42723960710424,3,2022,9,6,448,433
0,12,0,3,110.50892458112563,43.7,82.33,18,2,1,75.1864980278176,3,2022,8,0,42,39
0,13,4,1,428.2220827518618,252.45,61.8,8,2,0,56.49606913954656,2,2022,7,5,249,249
2,13,3,1,387.7021437387824,270.16,76.98,18,0,1,66.71855173802287,0,2023,1,4,267,265
4,12,0,3,300.2159117787246,20.88,15.39,8,1,0,12.614192619258027,0,2022,7,4,10,16
0,4,3,2,267.06323440438695,262.86,50.33,23,3,1,48.859218995969414,1,2023,8,6,272,258
0,15,4,0,335.2104045627477,206.5,78.14,23,1,0,76.24845421465119,1,2022,6,4,196,202
3,5,0,3,320.47588128526434,106.04,82.72,23,3,0,73.27497689151716,1,2022,11,2,114,100
1,6,4,3,377.57215898551254,77.59,48.96,3,3,0,40.917633598779155,2,2023,1,1,68,72
0,4,3,2,53.41264688087739,57.44,20.48,23,3,0,17.88703594692738,1,2022,6,0,38,46
2,3,1,3,47.887200651821104,46.24,13.35,3,2,1,16.520344506480683,3,2022,11,1,38,39
4,9,3,0,330.60586603853415,108.4,84.38,8,1,0,77.71672407296893,1,2023,10,0,113,103
2,0,2,0,273.50958833828594,74.3,24.06,8,2,1,24.517336313418788,1,2022,5,6,61,69
4,4,2,0,301.1368194835673,337.88,93.65,8,0,1,85.40898062629391,0,2022,12,3,323,322
0,13,1,0,296.5322809593538,24.26,10.6,8,1,1,6.371737121001493,0,2022,9,5,32,19
2,14,0,2,46.04538524213568,33.06,48.95,18,3,0,41.36088487676186,3,2022,11,3,29,29
3,19,4,3,210.88786440898141,31.9,76.9,23,2,0,68.63930727594796,2,2022,6,3,17,28
