store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,10,0,2,260,56.98,17.5665,20,0,1,13.31,3,2022,12,2,60,52
3,0,3,3,481,88.91,102.40650000000001,20,2,1,95.46,2,2023,5,4,73,83
4,2,4,2,280,140.86,14.9835,10,0,1,11.15,1,2023,3,0,133,137
2,9,0,2,404,279.97,34.8705,5,0,0,29.8,3,2022,10,3,281,276
0,8,4,2,310,303.22,89.4705,0,3,0,82.4,2,2023,10,6,310,296
0,7,3,2,222,29.89,83.7375,0,2,1,83.82,0,2023,6,5,34,26
4,13,2,0,256,115.75,98.4375,0,1,1,91.89,1,2022,11,0,97,110
3,10,2,0,341,61.64,16.359,5,2,0,13.95,1,2022,12,3,61,57
3,9,2,2,433,331.82,61.572,10,3,1,62.28,0,2023,1,1,317,327
2,1,2,2,435,141.9,63.493500000000004,10,1,0,58.31,0,2023,8,5,124,137
0,2,2,0,413,296.12,42.42,15,1,0,44.09,1,2023,3,2,293,292
3,6,0,2,304,201.92,88.0005,0,0,1,84.77,0,2022,9,6,190,196
4,9,0,1,344,55.89,69.3525,15,0,1,63.31,3,2023,2,6,63,50
2,4,2,0,479,79.19,30.6915,15,1,0,32.04,3,2023,2,4,77,73
4,1,2,1,267,268.03,101.48250000000002,5,1,0,96.2,2,2022,5,2,261,259
1,2,0,2,405,154.31,52.5735,10,1,0,52.54,2,2023,1,6,159,149
0,7,4,1,73,55.79,43.774499999999996,10,2,1,41.37,3,2022,11,4,60,51
4,3,3,2,445,71.97,63.493500000000004,0,2,1,58.61,2,2022,3,4,62,67
3,17,1,3,319,170.15,20.128500000000003,15,1,1,20.52,3,2022,1,2,158,164
3,9,4,2,213,22.1,41.8635,15,0,0,43.27,2,2022,9,5,25,17
1,15,1,1,52,22.89,30.0195,0,2,1,29.09,2,2023,9,4,14,18
2,4,2,1,234,47.52,76.57650000000001,20,1,0,70.99,2,2022,4,4,55,43
0,17,2,1,481,247.21,25.462500000000002,5,1,1,23.58,3,2022,12,0,239,241
3,13,0,2,155,30.2,95.8335,10,0,1,94.71,3,2023,2,0,32,26
0,13,3,1,138,54.16,67.179,15,1,1,61.15,2,2022,5,5,54,50
3,14,2,0,398,7.94,83.54849999999999,0,3,0,82.94,2,2022,9,3,15,10
0,19,4,3,123,24.28,84.6825,15,0,0,85.23,0,2022,8,4,23,19
2,3,4,1,82,30.69,53.717999999999996,10,0,1,55.77,3,2023,12,2,12,26
2,8,1,1,456,97.79,68.019,5,1,0,65.99,1,2022,2,6,82,93
3,16,0,2,253,116.65,84.40950000000001,5,2,1,85.36,1,2023,2,2,108,112
1,12,1,2,80,48.05,34.0935,5,2,0,33.82,3,2023,7,3,54,43
2,7,0,3,302,85.99,53.676,10,2,0,47.34,2,2022,5,1,82,82
0,6,2,0,283,176.82,72.093,15,0,1,71.08,2,2022,9,6,177,170
3,17,3,1,296,24.47,51.0615,10,2,1,44.32,0,2023,5,0,15,19
1,6,1,1,449,132.54,85.4175,20,0,0,82.18,1,2022,1,1,121,127
3,18,2,0,371,333.09,43.2075,0,1,0,42.16,0,2023,4,6,334,330
3,15,1,2,445,365.42,39.291000000000004,20,0,0,39.61,0,2023,7,3,372,359
2,1,3,3,492,108.52,95.6025,15,0,0,86.64,1,2022,11,0,99,102
4,19,3,0,306,140.51,93.59700000000001,15,1,0,89.24,3,2023,5,2,127,137
1,5,4,1,398,141.17,49.045500000000004,0,3,1,43.29,3,2023,1,1,143,137
1,13,2,0,142,37.22,23.037000000000003,15,1,1,25.74,0,2022,11,6,35,32
3,18,4,2,488,36.14,15.225000000000001,5,3,1,18.06,0,2022,12,6,46,31
4,14,1,0,379,371.64,100.884,5,0,1,99.54,1,2022,3,5,375,366
2,14,2,2,139,102.16,104.63250000000001,10,0,0,95.24,3,2022,7,0,112,98
1,8,0,1,394,17.49,101.89200000000001,5,1,1,92.75,0,2023,6,1,0,13
3,4,0,0,424,20.26,42.839999999999996,10,1,1,42.29,2,2023,11,0,20,15
1,4,2,2,238,246.21,28.6545,20,2,0,29.23,0,2022,9,4,230,233
2,18,0,3,279,38.77,96.3585,10,2,0,87.47,1,2022,4,1,24,34
4,5,3,3,337,42.7,59.98650000000001,10,1,0,53.46,0,2023,1,1,33,36
3,6,4,3,424,116.59,76.524,5,1,0,73.42,3,2023,4,0,113,112
3,9,2,3,474,423.21,51.2715,20,0,0,50.56,0,2023,9,5,415,416
3,4,3,3,445,43.11,59.3145,0,1,0,60.87,1,2023,4,6,37,38
4,12,0,3,129,40.21,28.14,20,0,0,26.8,0,2023,2,1,45,35
2,10,1,1,342,328.18,61.2465,15,0,1,59.78,1,2022,10,4,331,321
0,3,0,2,247,87.94,30.996000000000002,10,1,0,30.84,3,2022,11,0,81,83
1,19,3,3,113,129.74,27.384,20,1,1,30.69,0,2023,10,0,110,116
4,3,2,0,287,93.23,16.6215,0,2,1,20.74,2,2023,7,6,76,87
0,16,1,2,382,255.08,91.68599999999999,10,2,1,89.22,2,2022,6,6,259,250
3,2,3,2,105,67.08,100.884,5,3,1,94.24,1,2022,6,3,48,62
0,1,2,3,213,34.83,103.131,20,0,1,97.05,0,2023,4,5,31,28
2,7,3,1,196,149.1,92.96700000000001,15,3,1,89.13,0,2023,2,1,156,144
0,8,1,3,431,426.24,77.994,10,1,0,72.3,0,2022,11,1,429,418
3,14,2,1,320,26.09,37.653,15,2,1,39.39,1,2022,12,3,33,22
3,1,0,2,269,136.06,55.1985,15,0,1,55.09,1,2022,6,0,130,131
3,6,3,3,315,138.82,87.0555,5,3,1,81.8,0,2023,4,2,130,133
4,14,3,2,436,150.05,59.157000000000004,20,0,1,59.06,3,2023,10,0,160,146
3,7,3,2,482,135.25,23.709,10,1,0,20.84,3,2023,9,6,137,130
1,4,0,0,315,112.99,31.983,15,1,0,31.34,3,2023,8,2,109,108
0,5,0,3,84,2.87,56.112,5,3,1,49.0,0,2023,5,4,5,7
4,13,1,0,128,135.11,14.847000000000001,10,3,0,16.57,2,2022,8,1,121,124
2,2,2,3,329,275.75,43.1235,5,2,1,42.33,1,2022,8,6,257,270
4,9,1,1,189,67.87,88.956,20,0,1,85.26,2,2022,8,3,72,64
3,11,3,3,258,47.44,47.8485,5,1,0,48.5,2,2023,2,3,47,42
2,19,3,1,422,226.51,49.3395,15,0,1,51.23,2,2023,10,6,218,221
3,14,4,3,123,114.58,67.494,5,0,1,61.24,2,2022,6,0,123,109
4,15,2,2,81,23.84,65.289,0,1,0,63.23,0,2022,2,5,28,19
3,2,2,0,374,43.08,19.425,20,1,1,21.49,1,2022,4,3,52,38
3,1,4,1,94,58.09,15.4245,10,1,0,11.79,3,2023,4,1,39,53
1,17,4,3,315,70.5,72.2715,0,3,1,66.63,3,2022,12,1,59,65
4,2,2,2,466,135.46,83.58,10,1,1,81.13,2,2023,6,5,139,130
0,15,2,2,52,6.87,14.647499999999999,10,3,0,15.76,3,2022,10,6,16,9
3,8,2,1,67,20.09,86.54100000000001,5,0,0,80.07,2,2022,12,3,16,16
4,18,3,2,180,74.41,30.166500000000003,10,1,0,33.41,0,2022,3,1,55,69
1,6,2,0,470,268.71,46.588499999999996,5,1,1,41.65,1,2023,6,1,277,263
2,19,2,0,160,59.26,10.9305,0,0,0,10.69,3,2022,3,0,46,56
1,6,4,2,184,140.95,86.9085,20,1,0,84.62,3,2023,1,6,146,137
4,4,0,3,150,108.37,54.2745,5,1,0,50.39,1,2023,10,0,96,103
3,17,2,1,453,257.42,52.983000000000004,5,2,0,49.39,2,2022,10,5,241,253
0,14,2,2,407,35.32,48.9405,10,3,1,48.57,0,2022,2,2,43,31
0,5,2,2,444,355.17,50.5155,10,0,0,52.22,3,2023,11,6,352,352
2,8,3,0,185,178.37,38.64,0,0,1,41.47,1,2022,9,3,176,171
0,14,3,2,242,124.17,27.531,15,0,0,28.85,2,2023,3,0,119,119
2,18,2,3,257,153.24,82.34100000000001,10,2,0,75.61,3,2023,9,0,134,148
1,10,4,2,238,188.81,37.6635,15,2,0,38.12,0,2022,4,4,178,185
2,19,4,3,364,112.25,91.15050000000001,0,2,0,84.92,3,2023,2,3,97,106
3,14,3,1,90,49.38,10.5945,10,1,0,8.03,1,2022,5,3,55,45
0,5,3,2,224,21.17,16.2015,15,0,1,19.87,0,2023,9,5,26,16
4,12,1,3,279,239.15,68.23949999999999,15,0,0,68.45,3,2023,12,5,229,233
1,19,1,1,420,232.12,94.53150000000001,5,1,1,91.46,1,2023,10,6,222,228
4,0,3,2,324,122.9,48.77250000000001,15,1,1,45.4,1,2023,1,2,105,119
3,15,1,1,352,231.64,45.475500000000004,5,1,1,42.0,0,2023,3,4,219,226
1,16,2,0,471,68.28,37.589999999999996,5,0,1,35.02,0,2023,4,0,74,65
0,17,0,1,363,306.77,54.663000000000004,5,1,0,50.29,2,2022,1,6,316,302
2,17,2,0,200,177.3,11.739,0,0,0,12.36,3,2022,10,6,178,171
3,1,3,0,61,-1.88,18.858,5,3,1,19.12,3,2023,3,2,7,5
0,3,2,1,427,305.87,48.3525,5,2,0,41.57,2,2023,1,5,286,301
0,4,4,2,322,252.21,32.1825,0,0,0,28.16,0,2023,3,5,253,249
1,18,1,0,440,185.55,100.87349999999999,0,3,1,98.89,1,2023,2,1,190,181
2,2,4,2,443,459.18,96.42150000000001,15,3,0,93.47,0,2022,11,5,442,449
1,19,1,1,109,16.45,63.0735,0,0,0,59.18,2,2023,1,6,23,13
0,7,3,1,283,82.13,91.3395,10,2,0,82.61,2,2023,11,6,92,77
2,1,3,2,480,394.01,14.7105,10,3,0,18.91,0,2022,12,1,382,390
4,14,0,3,64,63.14,91.434,0,0,0,89.58,2,2022,12,5,47,54
2,1,0,0,260,85.15,93.21900000000001,10,0,0,93.34,3,2023,12,1,82,81
0,3,2,2,337,281.56,10.521,0,0,1,10.72,3,2023,12,5,272,276
3,17,1,1,219,186.63,85.8165,20,0,1,81.47,2,2023,11,4,184,182
4,12,3,0,357,118.87,37.17,15,2,0,38.08,2,2023,10,4,109,113
2,11,0,1,125,0.9,95.79150000000001,20,2,1,90.88,3,2022,9,5,0,5
2,0,3,2,413,92.6,80.409,0,2,0,71.59,0,2023,8,3,86,87
4,14,4,0,139,93.19,91.41300000000001,0,1,1,84.16,0,2023,12,0,76,87
0,18,4,0,149,109.3,73.668,20,2,0,65.64,2,2023,12,0,90,104
3,6,3,1,79,49.0,99.876,5,2,0,96.95,1,2022,12,5,55,43
4,1,2,3,73,48.95,65.667,0,2,1,63.33,1,2022,3,4,54,44
2,8,1,2,278,56.94,74.634,5,0,0,72.0,0,2023,12,6,40,51
