store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
4,2,4,3,377,142.36,79.065,20,0,1,76.81,1,2022,5,4,130,137
4,14,0,2,423,238.42,13.272000000000002,15,0,0,13.87,0,2022,7,0,242,233
2,9,3,1,344,186.89,52.3425,10,3,1,49.07,2,2023,8,2,177,183
4,12,3,2,433,259.23,31.6365,15,0,1,33.39,3,2023,4,5,259,255
1,16,4,3,56,22.16,85.66950000000001,10,3,1,80.84,2,2023,1,1,18,17
1,13,1,3,350,256.17,80.5665,10,1,0,79.36,0,2023,10,3,245,249
3,13,2,3,260,99.7,32.8335,5,0,1,30.35,1,2023,7,5,99,95
0,1,3,3,338,128.81,40.6665,5,1,1,35.77,1,2022,9,6,117,124
2,11,3,1,449,225.02,20.5905,20,1,1,24.45,0,2023,1,0,227,221
0,18,1,1,168,18.31,36.7605,0,1,0,35.87,2,2023,7,0,8,13
2,2,2,0,111,70.49,19.0365,20,0,0,19.03,1,2022,12,0,64,66
4,8,2,1,67,44.7,44.1105,15,3,0,37.91,1,2022,3,2,49,40
3,6,2,0,436,26.39,31.9515,15,2,1,34.31,0,2023,8,5,27,22
2,14,3,2,303,203.27,54.5895,5,0,0,54.28,1,2023,4,3,205,198
2,17,4,3,198,156.74,47.344500000000004,15,0,0,42.52,1,2022,5,0,166,152
3,15,0,3,404,293.62,88.7775,20,2,0,85.54,0,2022,2,0,300,290
2,3,1,2,258,250.76,93.19800000000001,5,1,1,87.7,2,2022,7,5,242,241
2,3,0,1,245,124.76,18.900000000000002,10,3,0,16.65,0,2022,3,3,115,120
3,17,2,0,342,273.62,53.581500000000005,5,1,1,48.55,1,2023,1,3,264,269
1,4,3,3,254,216.33,95.9175,20,1,1,92.7,1,2023,8,4,205,211
3,2,4,2,102,30.68,82.593,10,1,0,74.11,0,2023,10,5,29,26
1,3,3,2,330,282.21,54.54750000000001,15,2,0,55.98,2,2023,8,6,282,278
1,14,1,1,264,46.86,11.256000000000002,5,3,1,11.5,2,2022,5,0,37,42
3,11,0,0,229,198.37,54.40050000000001,15,2,1,53.75,0,2022,4,1,179,193
0,6,4,2,162,121.63,32.088,15,3,0,30.4,1,2023,6,3,102,116
4,0,3,2,403,313.16,46.9455,20,2,0,44.77,2,2022,6,3,294,307
1,6,4,2,439,276.45,22.6065,15,2,1,21.77,2,2023,8,6,273,271
4,6,4,2,157,33.53,97.04100000000001,10,0,0,93.68,2,2023,7,0,17,29
1,1,0,3,286,239.16,40.8765,15,1,0,40.72,2,2023,9,1,234,234
1,18,4,3,325,205.71,80.5035,0,1,0,76.16,0,2023,2,3,214,201
3,16,2,1,246,235.8,72.513,0,0,0,66.97,3,2022,7,0,242,231
3,7,2,1,226,9.44,103.87650000000001,5,0,1,102.78,2,2023,9,4,9,10
1,17,0,2,476,404.51,19.0575,5,1,0,14.45,0,2023,12,1,386,400
2,9,3,0,363,277.12,70.287,15,2,1,66.43,0,2023,11,5,260,271
1,0,0,2,50,2.83,41.685,15,3,0,39.5,3,2022,3,6,12,6
4,12,4,1,477,93.48,36.456,20,1,1,33.02,0,2023,5,5,91,87
2,11,2,2,112,51.75,104.8215,15,3,1,100.87,3,2023,10,2,55,45
2,1,0,2,370,278.43,62.202000000000005,10,2,1,61.58,3,2023,5,4,272,273
0,11,0,2,322,251.18,60.186,5,2,1,53.0,1,2022,3,3,235,245
4,11,1,2,290,74.45,101.91300000000001,15,3,1,96.78,2,2022,5,2,70,70
0,10,1,2,114,21.19,75.831,15,1,1,75.12,3,2022,8,1,5,17
4,11,2,3,377,31.06,84.315,0,2,1,78.03,2,2023,2,3,13,26
2,14,0,1,208,210.01,35.07,10,1,1,31.41,3,2022,10,0,198,199
3,17,4,3,352,219.9,31.0695,5,2,0,31.36,2,2023,3,3,216,215
0,11,4,0,311,4.04,86.63550000000001,10,3,0,82.59,0,2022,11,3,6,7
4,13,4,2,268,6.69,67.3365,15,1,1,60.86,1,2023,8,5,14,8
1,13,2,2,182,86.14,12.4215,15,0,1,12.64,1,2022,4,2,88,82
1,15,4,3,238,60.77,37.2015,15,0,0,40.14,0,2022,7,6,68,56
2,1,1,3,446,353.99,17.451,20,0,0,12.07,3,2023,12,5,349,349
4,10,4,3,79,41.06,103.02600000000001,10,0,0,100.93,2,2022,6,4,41,33
0,0,3,3,406,150.83,74.0985,20,1,0,68.87,2,2022,11,2,137,147
2,12,1,1,195,42.22,39.9525,15,2,1,35.42,1,2022,6,6,48,37
0,9,3,2,256,55.23,45.297000000000004,20,2,1,41.61,1,2022,11,5,45,50
3,1,2,0,57,39.95,32.781,5,0,0,27.02,2,2023,12,2,23,34
2,17,1,3,499,447.55,63.55650000000001,0,0,0,62.29,1,2023,4,3,446,442
1,14,0,2,360,163.5,29.8305,10,1,1,30.68,2,2023,11,0,152,159
0,16,2,3,499,60.17,30.9435,0,1,0,31.27,2,2023,7,2,48,53
4,11,1,0,159,127.67,70.65450000000001,20,0,0,67.46,2,2023,3,0,126,123
1,2,1,1,339,267.24,38.5035,10,2,1,39.5,1,2022,7,1,248,263
2,0,2,1,469,190.43,99.855,20,3,0,95.06,3,2023,7,0,173,184
2,5,0,0,399,131.87,73.374,10,3,0,66.63,1,2023,11,3,140,127
4,9,0,3,288,97.92,96.2745,15,0,1,93.43,3,2022,4,4,81,93
3,15,0,2,310,154.32,13.965000000000002,20,0,0,11.09,2,2022,10,4,150,148
1,4,4,0,275,204.72,56.133,5,1,0,51.07,1,2022,4,1,194,200
4,8,3,3,269,94.65,71.46300000000001,10,1,0,63.86,2,2023,12,6,92,90
2,2,4,3,239,116.64,63.7245,10,0,0,60.33,3,2022,4,1,122,111
2,18,4,3,174,103.8,86.3835,10,0,1,83.98,3,2022,3,2,108,99
0,13,4,3,166,126.64,31.248000000000005,20,1,0,27.5,2,2022,3,1,136,121
3,18,2,3,277,260.8,64.8585,5,0,0,66.77,2,2023,11,3,250,255
4,12,0,3,155,64.13,47.722500000000004,0,3,0,40.9,1,2022,1,6,65,59
2,18,1,0,394,201.83,84.79800000000002,5,3,1,80.02,2,2023,9,2,188,196
0,19,4,1,247,237.39,58.453500000000005,15,0,1,57.2,2,2023,1,0,236,230
1,7,0,2,169,160.94,32.256,0,0,1,30.6,0,2023,6,1,168,154
4,12,2,1,415,272.9,49.444500000000005,10,2,1,47.02,0,2022,1,5,279,269
1,16,0,0,201,38.15,104.769,5,2,1,100.32,2,2022,3,4,34,31
3,11,2,0,349,74.85,68.691,0,1,0,61.02,0,2022,9,1,59,69
2,12,4,0,262,53.02,82.047,5,0,0,79.39,2,2022,1,2,63,49
1,18,1,2,131,112.31,96.40050000000001,20,0,1,87.77,0,2022,7,5,121,106
3,17,0,3,198,116.11,27.1215,0,0,1,24.4,1,2023,3,1,124,111
1,16,4,1,179,94.21,62.1915,10,1,0,58.73,0,2023,4,3,100,89
