store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
1,17,0,2,359.6487562090539,208.31,29.88,28,1,1,23.758714709405606,0,2022,1,0,213,204
2,5,2,2,257.17349416592623,154.04,84.71,8,0,0,73.74158401450181,2,2022,8,6,136,149
3,7,2,1,260.1295113402472,116.67,18.03,8,1,0,19.56654351699591,2,2022,9,6,102,112
4,18,4,1,118.24068697283964,50.06,98.91,13,2,0,93.88062668112195,0,2022,6,6,31,45
2,11,4,3,174.40501328493846,165.84,29.73,8,1,1,23.14928013077336,3,2023,4,2,168,161
1,15,0,2,124.15272132148162,17.5,86.4,23,0,0,75.89307275421868,3,2023,7,3,2,13
4,13,1,2,479.8601212981075,471.72,94.41,23,3,1,83.52023884437376,0,2022,7,3,452,462
1,3,3,2,325.161889175309,282.21,51.95,23,2,0,51.691132896716894,2,2023,8,6,282,279
1,18,4,3,80.79780276477375,23.49,54.8,18,2,0,54.48899164407403,0,2022,7,3,24,18
0,1,0,2,377.38485925497986,310.92,57.36,23,1,0,49.00408043638381,2,2023,11,2,292,304
4,18,1,3,285.7483268510291,114.59,95.38,18,2,1,92.61558823759744,1,2023,6,5,98,110
2,7,4,2,336.98595787259296,159.42,40.15,8,0,0,35.03325441410216,2,2022,10,3,143,153
2,7,2,3,111.34331356609066,95.55,95.61,28,0,1,88.35878004442372,1,2022,10,4,104,91
3,9,1,0,361.6194343252679,187.23,62.88,13,3,1,56.566609525774865,0,2022,8,2,172,183
4,7,3,3,151.74221494847754,138.77,80.52,13,3,1,73.75081787175382,0,2022,6,3,121,132
1,18,1,1,120.21136508905363,79.5,94.98,8,2,0,92.11695994598925,1,2022,5,2,76,75
3,13,0,1,397.0916404171198,155.24,52.6,8,0,1,45.642956396654455,1,2022,3,2,146,150
2,4,2,0,361.6194343252679,250.02,41.91,18,1,1,40.04723890194019,2,2022,2,1,255,245
1,19,2,3,379.3555373711938,336.93,68.61,13,2,1,64.17530790142595,2,2022,9,5,344,334
2,6,4,2,329.103245407737,320.64,13.75,8,3,1,8.652124245127498,0,2023,10,2,306,313
0,4,2,3,399.0623185333338,193.38,46.13,8,0,0,39.29929646452789,1,2022,1,2,192,188
2,7,2,2,453.2559667292186,454.8,16.55,28,1,1,15.088122749774099,0,2023,12,6,450,448
1,10,1,3,195.0971335051854,-1.29,60.27,18,1,0,57.48999525097524,1,2022,4,0,5,5
2,0,4,3,69.95907312559679,56.01,25.44,8,2,1,26.91669388959088,3,2023,9,2,37,49
2,5,3,1,287.7190049672431,178.41,15.83,23,2,1,13.638407161209514,2,2022,12,6,178,172
0,17,1,1,104.44594015934167,32.08,22.52,8,2,1,21.681096827704767,1,2022,12,6,15,28
0,13,2,0,179.33170857547344,15.71,70.27,23,0,0,67.34252093886323,0,2023,12,5,2,13
4,0,0,1,168.49297893629648,99.41,29.3,28,0,0,28.2002000476194,1,2022,9,3,99,93
4,17,0,1,419.7544387535807,247.89,67.51,8,3,1,58.82890455251579,3,2022,9,5,240,242
3,19,3,2,483.8014775305355,318.98,26.0,28,2,0,23.010772271993304,2,2022,10,5,315,313
4,18,4,1,234.51069582946528,96.72,55.03,28,1,0,50.39839288143637,0,2023,11,0,94,91
4,17,2,3,299.54307366452707,49.59,23.58,18,2,0,20.462227670440274,3,2022,3,3,44,44
1,15,3,3,327.132567291523,83.16,11.54,28,3,0,8.82756753291557,0,2022,2,4,72,78
3,12,2,1,201.99450691193437,28.79,53.91,13,0,0,51.958914757025006,0,2023,9,3,30,24
4,16,2,3,197.0678116213994,115.0,86.11,23,1,0,82.07052325580918,1,2023,12,6,101,109
3,8,3,0,197.0678116213994,10.7,16.99,13,2,0,17.35965163376702,0,2023,11,3,11,10
0,19,2,2,343.8833312793419,337.86,69.14,28,1,1,68.05352794726751,1,2023,6,0,345,328
2,6,0,3,292.6457002577781,134.29,99.82,28,0,0,88.26644147190369,3,2022,2,2,142,131
1,2,4,0,195.0971335051854,189.86,50.95,13,1,0,46.40936654857076,2,2022,2,4,178,181
2,2,4,2,103.46060110123469,104.78,55.05,18,3,1,52.11589033030907,2,2022,7,0,103,93
2,17,1,0,268.0122238051032,104.5,17.48,28,3,0,12.890464723797212,2,2023,3,4,96,98
3,0,4,2,339.94197504691397,291.12,80.72,13,1,1,78.24770635347963,3,2022,11,1,292,287
2,15,1,2,289.6896830834571,82.34,84.97,28,2,0,80.36225966418849,1,2022,4,2,83,77
3,9,3,3,474.9334260075725,387.2,64.68,8,3,1,61.839142016669,3,2022,6,2,374,382
2,7,1,1,291.6603611996711,113.18,52.89,28,2,0,47.42509084629118,0,2023,6,2,106,108
3,0,2,1,186.22908198222243,130.96,82.64,13,2,1,73.17831872212959,2,2022,10,5,120,125
3,15,2,2,383.2968936036218,112.04,75.37,13,1,1,66.51147378618289,3,2023,12,5,110,106
2,13,4,1,255.20281604971223,177.56,22.24,28,3,0,21.939644830760873,1,2023,7,0,163,172
1,14,4,1,447.34393238057663,366.52,33.59,13,2,1,35.44877799044233,2,2022,7,5,354,363
0,3,4,0,368.51680773201684,355.56,24.74,28,1,0,21.30250868037261,2,2022,10,3,355,349
1,0,3,1,100.5045839269137,68.59,77.94,13,2,1,68.9953813869719,0,2022,3,2,64,65
3,19,1,1,127.10873849580261,29.38,70.81,28,2,1,69.46630810682409,1,2022,3,2,17,24
4,2,3,3,221.7012880740743,108.52,11.98,18,1,1,9.187687965743715,2,2023,4,0,106,103
1,19,2,1,217.75993184164633,16.34,92.54,8,3,0,81.55342724969697,0,2023,1,3,10,13
0,0,3,3,261.1148503983542,161.11,84.43,23,3,0,74.47105873741012,2,2022,6,6,164,156
3,10,4,1,309.39646424559703,126.77,59.4,28,2,0,55.12612779446229,2,2022,7,6,118,122
3,11,2,3,56.16432631209883,24.58,87.48,23,1,1,80.21451794815644,3,2023,8,2,10,20
1,13,2,0,357.6780780928399,94.9,97.67,13,1,0,87.13991088715923,0,2023,5,2,82,91
3,3,0,3,169.47831799440348,143.4,76.02,28,2,0,67.06550522130311,1,2023,9,6,129,137
4,0,3,0,329.103245407737,74.3,35.03,23,2,1,32.660153100337205,1,2023,8,1,79,69
2,19,0,0,412.85706534683175,113.98,18.36,18,1,1,20.656138672732354,1,2023,1,3,121,108
0,16,0,3,277.86561438617315,21.86,39.78,28,2,0,37.17550929656703,3,2022,12,0,10,17
4,13,1,1,365.5607905576959,263.13,72.93,8,3,1,71.71013541906099,0,2023,12,5,270,258
