store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
1,8,2,0,494,347.56,87.4965,0,3,0,79.23,0,2023,4,0,347,342
0,0,0,2,329,191.53,48.2475,15,0,1,45.45,1,2022,7,2,194,188
3,15,1,3,408,126.86,57.2355,20,0,1,57.48,1,2023,7,5,114,122
1,11,1,0,211,206.29,16.768500000000003,15,0,0,17.66,1,2022,8,2,199,197
3,9,0,2,124,121.16,40.1415,0,1,1,35.07,0,2023,5,0,122,114
0,14,4,0,414,102.4,44.61450000000001,20,3,0,43.34,3,2022,10,5,107,97
3,5,4,2,478,429.17,30.303,15,1,0,28.51,1,2023,3,0,436,426
2,13,2,3,178,18.49,100.2645,20,0,1,94.35,3,2023,12,0,18,16
0,11,1,3,268,21.15,41.905499999999996,5,3,1,44.19,0,2023,6,5,16,15
3,4,3,0,443,175.11,13.0515,5,2,1,8.74,3,2023,10,2,182,169
3,6,4,3,113,88.09,81.333,15,1,0,75.92,3,2023,11,3,88,83
1,10,2,1,488,371.37,101.199,15,3,1,93.72,2,2023,7,0,354,364
3,8,2,1,302,221.52,15.5085,10,0,1,18.55,2,2023,10,0,230,217
1,1,0,3,429,10.5,28.4235,0,3,0,28.26,2,2022,9,5,5,10
3,4,3,0,178,180.51,26.355000000000004,15,3,0,20.27,1,2022,1,1,178,172
3,12,2,3,500,26.77,16.296,20,0,0,18.6,1,2023,12,4,30,23
2,2,4,2,238,56.03,67.809,20,3,1,63.56,1,2023,3,3,37,49
1,4,3,0,329,80.35,51.702000000000005,20,2,0,50.26,1,2022,11,0,73,75
2,17,4,3,118,61.91,12.652500000000002,10,2,1,8.96,3,2022,6,1,50,56
1,8,4,3,178,125.87,88.662,10,1,1,86.62,1,2022,10,2,132,121
2,13,3,2,129,91.21,57.12,20,0,1,59.06,3,2023,1,5,91,86
2,4,4,2,371,335.99,39.228,0,0,1,32.42,1,2022,8,5,325,332
2,17,1,0,432,295.56,71.3895,15,3,0,63.03,0,2023,4,5,291,290
3,16,0,1,207,185.0,92.08500000000001,20,1,1,85.5,1,2023,3,6,186,181
4,6,3,1,146,56.36,50.0325,15,3,1,52.48,0,2023,4,3,53,52
1,4,0,0,244,55.59,52.5525,10,3,0,48.34,3,2022,4,4,57,50
3,8,1,0,241,197.67,35.4165,0,1,1,36.31,0,2023,9,5,199,193
0,4,4,2,152,72.04,37.89450000000001,5,2,0,31.57,3,2022,6,1,66,67
0,3,0,2,236,52.28,95.2035,10,3,0,93.94,3,2023,7,4,59,47
2,7,4,3,216,90.73,13.3245,0,3,0,15.52,1,2022,3,0,84,85
3,0,4,1,283,50.09,63.4095,5,1,1,64.48,1,2022,1,3,47,45
0,14,4,3,351,308.89,78.8235,20,1,0,77.98,3,2023,1,6,303,304
4,9,2,1,254,170.45,79.989,10,3,0,72.56,2,2022,1,4,169,164
0,8,4,3,362,36.17,49.780499999999996,15,0,1,49.93,2,2022,3,5,28,31
2,9,2,2,431,394.68,92.1375,20,1,0,88.84,1,2023,12,2,402,390
4,10,0,1,116,-2.92,47.6385,15,1,0,47.9,1,2023,7,2,5,4
4,17,2,3,281,146.24,75.705,15,0,1,73.43,1,2022,12,6,136,141
4,2,3,0,64,40.27,92.568,15,0,0,85.78,3,2022,8,0,46,36
1,5,0,2,364,53.79,103.96050000000001,10,3,0,97.46,1,2022,7,5,56,49
1,3,4,1,172,154.78,72.744,0,2,1,70.88,3,2023,4,0,152,148
4,6,1,0,183,94.43,74.24549999999999,15,1,0,71.41,2,2022,6,2,84,89
0,5,4,2,51,25.04,64.029,15,3,1,65.1,3,2023,4,2,25,21
1,2,3,2,196,56.18,65.415,5,1,0,66.57,1,2022,11,2,59,51
0,17,3,3,79,66.05,78.309,10,0,0,76.35,1,2023,6,1,64,61
3,12,4,3,231,30.89,90.98250000000002,5,0,0,84.84,0,2022,8,3,37,26
4,7,4,2,165,130.42,83.7585,0,0,1,79.45,2,2023,2,0,116,126
2,4,1,0,269,178.02,19.0155,10,0,1,13.89,0,2022,4,4,182,172
1,12,4,3,69,32.38,51.7545,0,2,0,52.49,1,2023,5,2,34,29
0,15,4,0,457,61.02,93.849,15,2,0,92.72,3,2022,6,2,58,56
1,19,3,3,317,92.61,17.64,0,0,1,21.43,1,2022,4,5,81,87
3,0,0,0,249,136.75,86.8035,15,3,0,79.18,2,2023,10,2,122,133
4,17,2,1,64,35.4,64.56450000000001,0,1,0,63.88,1,2022,4,5,21,31
0,19,2,2,484,176.88,59.80800000000001,10,1,1,58.47,3,2023,8,1,179,170
1,8,4,0,427,238.43,12.4845,20,0,1,13.67,2,2023,11,3,232,233
2,10,4,2,323,247.99,39.9,0,2,0,41.71,1,2023,12,2,232,242
2,0,1,0,77,48.59,16.8945,10,0,0,18.13,2,2023,11,5,40,43
2,14,0,2,480,206.0,78.79200000000002,5,3,1,75.31,2,2023,7,6,195,199
4,19,0,0,60,63.18,39.963,10,2,1,34.76,2,2023,1,2,45,52
1,12,0,3,390,162.7,98.80499999999999,0,0,1,92.28,2,2022,11,2,146,158
4,1,0,1,345,237.99,82.14150000000001,0,2,1,76.53,3,2023,1,0,242,233
3,7,3,3,164,78.73,69.3315,15,1,0,66.93,3,2022,9,4,85,73
0,16,0,0,62,-8.82,23.2575,5,3,1,24.25,1,2022,2,6,0,2
2,13,2,3,193,136.99,11.172,0,0,1,6.17,3,2023,9,0,133,134
1,0,0,3,162,17.54,61.194,10,2,1,56.78,1,2023,6,5,25,13
4,2,3,2,361,67.6,66.675,5,2,0,63.84,1,2023,8,3,49,63
0,3,2,2,245,90.22,17.293499999999998,0,1,0,14.64,3,2023,2,0,77,84
3,13,0,0,408,224.93,33.127500000000005,20,3,0,30.54,2,2022,2,3,225,221
0,2,4,1,321,169.28,65.184,15,2,0,59.3,3,2022,12,4,162,164
3,9,0,3,133,109.36,13.986,15,2,1,18.15,2,2023,9,2,97,104
0,19,1,0,406,185.25,15.361500000000001,10,2,0,10.89,1,2023,1,2,182,181
1,1,3,2,362,236.54,32.1825,0,1,1,33.4,3,2022,9,5,237,232
