store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
4,4,2,1,463,365.64,76.38,20,2,0,74.13,3,2022,7,0,370,361
1,14,3,1,107,35.2,58.8,5,3,0,61.7,0,2023,12,6,43,31
0,5,0,0,374,314.49,89.66,20,2,0,85.88,3,2022,12,5,309,310
3,4,3,0,483,319.82,31.87,5,0,1,29.19,1,2023,2,5,319,314
2,2,2,1,323,195.64,74.3,15,1,1,70.63,1,2022,2,5,185,192
4,18,1,2,275,47.14,83.57,15,0,0,83.31,3,2023,10,6,45,42
4,4,4,1,50,45.98,60.17,5,0,1,62.99,3,2023,8,4,37,40
2,0,3,1,498,457.26,15.37,15,0,0,14.52,1,2022,10,5,456,453
3,10,4,3,122,51.96,28.31,5,0,1,26.69,2,2022,9,6,39,46
4,5,3,3,78,47.37,43.0,10,0,0,45.37,3,2023,10,2,56,43
2,16,0,1,472,215.29,91.56,10,1,0,94.68,0,2022,11,5,218,211
2,0,2,3,124,19.73,28.52,15,1,1,27.62,3,2022,6,6,0,14
2,16,1,3,433,8.77,11.85,0,0,1,14.04,3,2022,6,5,18,9
4,12,4,0,484,339.45,18.25,15,3,0,19.88,3,2023,10,1,341,335
2,14,0,1,304,313.72,48.85,10,2,0,53.6,2,2023,11,5,298,302
4,12,1,0,288,135.63,21.91,10,1,1,19.38,2,2023,11,1,126,131
2,12,1,1,388,198.27,79.12,5,2,1,74.22,2,2023,9,5,182,193
1,3,2,0,380,203.44,61.64,20,3,0,57.21,3,2022,2,4,213,198
1,1,2,1,235,77.52,81.84,0,2,1,83.05,0,2023,5,2,69,72
0,14,1,3,157,153.85,71.84,0,0,0,76.07,0,2022,6,2,147,145
0,0,1,0,98,85.45,19.91,20,0,1,23.61,3,2023,1,4,86,81
4,1,3,1,80,29.17,47.73,0,1,1,43.74,2,2022,7,4,14,25
0,6,1,0,242,155.23,32.98,20,0,0,36.53,1,2023,7,3,163,150
4,18,4,2,243,119.05,81.13,5,2,1,85.58,2,2022,10,4,119,113
1,14,0,1,393,324.18,87.81,0,3,1,90.96,3,2023,8,3,322,320
2,10,4,0,405,142.13,11.91,10,0,1,9.89,1,2022,11,2,123,137
1,15,2,0,375,54.64,34.77,0,3,0,30.72,2,2022,1,4,53,50
2,16,4,0,263,151.86,31.24,5,3,1,34.33,3,2022,2,1,137,147
2,19,4,3,324,84.81,80.03,5,3,1,75.46,2,2023,3,2,94,80
3,10,1,0,154,104.41,47.35,0,0,0,44.21,3,2022,11,1,101,99
0,12,0,2,384,317.3,10.13,20,1,1,14.02,1,2023,3,1,320,313
4,15,3,0,417,311.22,88.04,20,2,0,85.88,3,2023,12,4,306,307
3,13,4,1,458,406.27,12.26,15,0,0,13.68,3,2022,12,2,404,400
0,1,4,0,181,97.57,33.29,20,0,1,32.8,2,2023,9,4,105,93
1,7,3,1,197,48.01,81.0,15,3,1,76.36,3,2023,1,6,54,42
3,1,2,1,240,139.63,88.7,0,2,1,91.66,3,2022,11,6,138,135
3,12,1,3,224,77.17,86.16,20,0,1,86.86,2,2022,5,5,58,72
1,18,2,3,67,55.04,57.81,0,0,0,57.53,2,2023,3,0,48,50
0,18,4,2,404,138.61,71.46,10,2,1,70.4,1,2022,7,1,146,133
0,17,0,2,210,144.67,34.62,15,1,0,37.03,2,2023,11,2,144,140
1,19,2,2,308,139.96,38.32,10,2,1,39.79,1,2023,2,0,123,136
2,1,3,1,310,61.34,51.77,10,3,1,50.29,1,2023,8,0,49,56
1,19,1,2,309,217.15,74.45,15,2,1,71.81,0,2022,10,2,216,213
2,18,2,3,223,194.48,45.4,5,1,1,45.24,3,2022,12,2,185,188
2,0,1,1,362,48.01,98.23,15,0,1,94.87,2,2023,12,5,32,42
2,15,3,1,232,151.18,19.03,20,3,1,22.72,1,2023,12,1,132,147
0,19,3,1,270,58.03,90.95,5,0,1,94.94,0,2022,12,6,59,53
1,6,4,2,112,83.14,59.59,10,3,0,64.49,1,2022,4,6,65,78
1,7,1,3,303,131.82,86.78,0,0,0,89.03,1,2023,5,4,129,127
3,10,4,1,314,126.77,59.4,20,2,0,59.7,2,2022,7,6,118,122
4,8,0,3,446,401.51,65.01,5,0,0,66.6,0,2023,7,2,399,398
3,17,0,0,311,51.35,49.8,15,3,1,53.43,3,2023,7,5,34,45
0,9,1,1,95,103.87,25.29,20,2,0,29.18,2,2022,8,1,87,91
2,12,2,1,226,73.81,48.04,15,1,0,51.02,1,2023,1,5,72,68
1,6,0,0,435,176.08,88.37,5,3,0,85.24,3,2022,1,6,161,170
1,15,2,0,449,159.33,87.0,5,3,0,89.04,2,2022,9,5,153,153
2,0,4,2,198,66.12,27.12,10,3,1,26.1,1,2023,5,0,51,61
2,9,1,1,256,108.32,76.08,5,1,0,80.6,0,2023,5,2,112,104
1,4,0,3,158,83.92,56.33,15,3,0,53.29,1,2023,1,0,83,80
2,11,4,1,185,107.62,68.11,10,0,0,68.63,0,2022,11,0,107,103
4,14,1,1,128,33.83,66.18,15,0,1,66.04,3,2022,4,2,20,29
0,4,0,2,125,81.49,40.94,15,2,0,41.48,0,2022,2,4,69,76
1,19,2,3,231,143.29,55.73,15,2,0,58.25,0,2023,8,5,148,137
1,16,3,1,222,29.32,62.41,0,3,0,62.14,1,2022,1,1,38,24
