store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,4,3,1,457.6762134805367,218.30149632484654,41.73311988161218,31,2,0,36.662799958269964,3,2023,9,5,298,213
4,12,0,0,303.3051819481121,302.01802403115346,20.42543402984393,24,1,1,36.91123238985841,2,2023,11,3,377,291
3,15,2,2,67.92891716600793,4.583633426183321,85.96145329593216,31,2,1,95.82448619792555,3,2023,6,3,3,7
3,2,0,2,129.45304400507672,74.17970486851729,11.046922022039022,29,1,0,10.674042121032192,0,2023,6,5,152,68
2,5,3,1,156.28904481003084,235.45101664281378,10.391557320946903,12,3,1,11.605217544034128,2,2023,12,2,171,220
0,2,4,2,176.51427335178485,315.4294258192265,72.18085630535376,25,0,0,85.82337371445429,1,2023,10,1,271,304
4,15,0,0,206.66735708652217,572.9380611237959,56.26595685327433,28,2,0,75.40318987490075,1,2023,11,4,412,467
3,5,0,3,47.378534760664465,64.5913046945813,24.67328995782633,54,0,1,26.348734321890806,2,2023,8,4,30,50
3,2,3,1,274.6927686737285,160.0574066383438,16.31591391268878,15,1,1,12.08108812037504,3,2023,11,2,166,153
3,0,4,1,312.7842194717439,104.21973577339661,26.617534003507878,32,0,1,38.70763073502222,2,2023,6,3,137,100
0,2,0,3,351.2226012581796,-30.36052639506938,54.60636689169048,32,3,0,42.766093846614915,0,2023,11,6,2,2
1,10,2,3,175.29066737917847,87.60396987353107,55.92272956229288,41,1,0,90.67958896617914,0,2023,4,0,53,84
4,13,0,1,141.07473782330737,200.75562173080067,108.80029122723707,33,2,0,92.27147268360739,3,2023,6,0,210,185
0,10,0,2,31.005927046451152,110.02299715733699,79.10473049148273,22,0,0,75.47721649704481,1,2023,1,2,75,95
0,1,0,1,417.53331879302397,285.42211817788785,75.16649092205051,17,0,0,79.57204960117478,1,2023,11,3,205,284
1,10,0,2,90.03375042405463,45.78470918972976,79.75900181497592,25,3,0,68.24900916207272,1,2023,6,5,53,41
0,0,0,3,329.135676085827,379.2148640889139,26.027497557160252,21,1,1,27.506913124634412,3,2023,3,4,269,364
1,15,1,2,359.5546272601676,345.32829553623685,132.08313937950186,41,0,0,76.58090783207092,2,2023,6,5,329,342
1,1,4,1,284.07938405101464,196.77551697408785,20.287001123039648,20,1,1,33.71339337572482,1,2023,2,3,184,194
