store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
1,7,0,2,53.062947257682495,54.61,57.29,29,1,1,53.99084492707006,3,2022,7,4,45,45
3,15,4,3,282.16011637021643,145.47,42.91,9,0,1,39.92340226759375,2,2023,10,6,129,140
2,17,0,2,183.61464289166324,216.14,66.51,14,1,0,65.89190141698703,3,2022,3,3,210,202
1,5,1,3,172.66514583849067,28.94,62.83,19,2,1,57.03879083662326,0,2022,6,3,36,24
3,13,1,0,109.49497053172578,64.3,80.77,19,2,0,80.0062355519949,3,2023,6,4,48,60
0,8,1,2,321.74675956245574,137.14,98.23,19,0,0,90.07852449617994,0,2023,12,4,147,133
2,10,2,0,55.58975426995309,46.87,38.86,24,3,0,36.72540363633947,1,2022,8,0,44,42
1,7,1,2,356.2797887301539,85.69,29.92,9,1,1,29.157119485541223,0,2023,2,5,77,81
4,6,4,3,132.23623364216115,27.29,96.72,14,3,1,94.85207670529557,2,2023,5,2,14,22
3,18,2,1,405.1313909673854,426.35,68.56,14,2,0,59.683470056604804,1,2023,1,3,418,413
3,11,0,1,90.96505244174142,68.36,79.96,24,1,0,75.91729888564046,0,2023,12,3,72,64
0,13,2,3,219.83221006754178,73.62,43.38,14,3,1,43.749746670971305,2,2023,12,0,63,68
2,3,4,1,122.12900559307876,134.35,80.01,29,3,1,72.7849483201304,1,2023,1,1,128,122
0,19,4,3,373.12516881195785,181.83,36.54,24,3,0,35.64689969911296,0,2023,3,5,187,176
3,18,3,1,235.83532114525553,96.66,23.27,24,2,1,18.644050671359263,0,2022,9,1,93,92
2,19,1,1,70.75059634357666,65.56,45.64,9,0,1,43.45901952267547,1,2023,4,0,75,59
1,10,1,2,315.00860752973415,348.86,59.4,14,3,0,54.928674437701815,2,2022,12,2,333,333
4,3,2,1,131.39396463807094,79.17,97.17,9,1,1,90.11603767660522,1,2022,2,4,74,73
4,6,0,1,112.02177754399638,66.13,74.97,19,1,0,70.44975283865735,3,2023,5,3,75,62
4,10,3,0,183.61464289166324,26.74,32.31,24,3,1,32.71149333083557,1,2022,10,1,17,22
0,11,2,2,362.17567175878526,91.25,60.52,14,2,0,61.09959261765876,0,2023,4,3,75,86
0,4,3,0,104.4413565071846,72.03,76.29,9,0,1,67.79569532356948,0,2022,8,0,70,67
3,11,4,3,111.17950853990618,110.96,52.3,9,3,0,48.5045422898743,3,2023,2,5,119,101
2,3,2,1,61.48563729858448,7.45,26.76,9,3,1,26.549953445984947,3,2023,3,5,11,9
4,13,1,1,165.9269938057691,181.05,51.09,14,3,0,48.373246158385854,3,2022,4,3,178,168
4,4,4,3,67.38152032721587,31.36,13.58,24,1,1,8.084090381645716,3,2023,4,2,24,26
0,15,4,2,143.18573069533372,38.58,30.34,29,2,0,33.049111954663005,1,2022,5,3,43,33
1,5,2,3,377.33651383240885,75.6,55.48,24,3,0,53.67198289345526,3,2023,7,3,75,70
0,5,2,0,308.27045549701256,270.44,86.65,9,0,1,78.24311607200721,1,2022,8,6,266,265
4,7,1,3,198.7754849652868,194.7,83.91,29,2,1,78.4494385643462,2,2022,7,1,193,187
3,6,2,3,52.2206782535923,71.72,66.94,19,1,1,63.4816795746634,2,2023,11,4,52,56
1,15,3,0,42.955719208600115,30.29,83.63,24,2,1,79.8468045351875,2,2022,2,1,22,26
1,9,0,1,181.93010488348284,170.82,30.31,14,1,0,24.242892849830834,1,2023,10,5,180,165
3,14,1,0,111.17950853990618,53.31,51.98,24,3,0,49.65807258795136,3,2023,9,2,45,49
0,10,3,2,396.7087009264834,120.87,37.23,19,2,1,37.64447655675859,3,2023,10,3,102,115
1,8,2,1,203.829098989828,46.59,33.09,24,3,1,33.51802670997888,2,2023,10,4,35,41
1,3,2,0,386.601472877401,206.74,24.99,19,2,1,21.457539203254523,2,2023,12,6,187,202
0,3,1,2,218.14767205936135,96.67,49.44,19,2,1,42.79316057012692,1,2022,5,4,97,92
0,12,3,3,132.23623364216115,156.47,83.25,19,1,0,81.1785224402846,1,2023,2,3,143,140
2,0,1,2,420.29223304100896,45.28,86.22,24,0,0,78.26187266221984,3,2023,4,1,35,40
2,5,2,1,379.86332084467944,372.01,24.39,9,3,0,26.549953445984947,3,2024,1,0,366,364
