store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,1,1,2,397,95.53,38.51528604365516,11,1,0,28.59199132344304,0,2023,4,2,85,91
4,2,1,0,136,22.07,40.706200828297476,21,1,0,33.61322637443957,1,2023,6,0,28,17
4,5,3,3,328,114.7,21.772215672382956,6,1,0,14.150753325535671,1,2023,8,6,99,109
0,4,3,0,337,24.27,103.60786223055653,26,0,0,85.56848491863505,2,2022,3,5,32,17
4,12,1,1,155,71.2,75.07617651237372,26,0,0,67.48581406349672,2,2022,3,4,70,67
3,16,1,2,358,52.61,101.71570855291088,26,3,0,89.5315258059918,2,2023,5,2,52,48
2,11,2,3,489,298.58,47.764431981094,11,3,0,39.329549748611235,1,2022,7,4,284,292
3,17,1,0,471,267.55,30.79729077957429,21,0,1,21.2053810831341,0,2022,12,6,271,263
3,0,0,1,199,108.98,52.20850344766959,21,1,0,46.871776777690734,2,2022,11,0,111,103
1,2,2,0,225,102.69,40.3825429623844,6,1,0,37.202786968747006,1,2023,4,0,106,97
4,6,0,3,402,258.72,121.44638999414988,11,0,1,105.52893169160473,3,2022,7,4,264,254
1,5,2,3,194,83.17,66.07599816409876,11,1,0,52.961580444911725,3,2022,4,2,76,79
3,11,0,2,53,1.19,86.61582427012043,21,0,1,69.91343596831736,0,2023,11,3,8,6
4,9,2,2,132,125.1,113.08107899824289,16,2,1,92.84097618051224,3,2022,2,6,117,118
1,18,0,2,202,136.57,62.45351974176404,6,2,1,49.01928846272437,1,2022,7,6,135,132
2,1,3,0,152,163.17,50.25410787273299,16,1,1,40.896092088901476,2,2022,7,4,152,149
1,3,1,0,100,56.01,106.67016357727248,6,3,0,89.67676814217766,2,2022,6,0,53,48
3,16,2,3,374,54.2,67.88101318553703,21,1,0,61.0225301032264,2,2023,7,3,53,50
1,3,1,3,492,152.16,81.91033683492273,21,2,1,65.13081332676902,0,2022,8,3,159,147
0,6,4,1,113,112.33,61.75641049210512,11,1,1,49.04003736789378,2,2023,7,4,105,102
1,2,0,0,470,159.79,95.27989637302412,26,1,0,74.65456079952689,0,2023,11,4,142,154
0,18,1,2,75,6.95,47.092219490351475,26,0,1,38.60333806768199,1,2023,7,3,13,9
1,16,2,1,380,329.11,16.083306259987868,26,1,0,17.740313919843107,1,2022,12,3,328,325
0,18,0,0,292,41.05,77.42892022997256,16,0,0,64.10374252088336,3,2022,1,0,43,36
4,12,0,1,96,42.18,22.494221680958265,21,0,0,23.435888388845367,2,2023,1,2,28,37
3,2,2,2,247,21.83,68.67770947086152,6,0,0,59.06175856471743,0,2023,2,4,19,16
0,7,0,2,436,204.58,25.282658679593933,26,0,1,17.626194941411367,2,2023,8,3,207,199
0,16,1,1,325,301.29,47.565257909762884,21,1,0,39.640783326152345,0,2023,4,3,299,295
0,5,0,0,102,90.26,47.7768803605522,21,0,0,36.0200993740908,2,2023,10,1,79,84
3,10,0,0,297,212.11,55.94301728512808,26,0,0,46.03144611832974,2,2022,7,1,196,208
0,2,2,2,427,329.62,59.25428622100794,21,3,1,53.272814022452835,1,2022,4,6,337,325
4,15,2,0,278,218.91,118.1849145761028,6,3,0,101.97049445505141,3,2022,6,3,221,212
3,19,1,0,399,370.8,45.57351719645169,21,1,0,37.30653149459404,2,2023,10,5,355,365
1,0,0,2,107,46.32,85.13446711459522,6,0,0,75.27702795460911,0,2023,9,5,49,41
4,14,1,0,134,63.26,31.992335207561005,21,1,1,29.857674538776877,1,2022,11,1,72,58
2,7,4,2,223,158.27,16.65593171506484,6,0,0,10.66493725707527,1,2022,12,2,160,154
3,16,0,3,333,340.04,45.946968580197534,21,0,1,36.12384389993783,0,2022,12,6,325,328
0,5,2,0,471,51.57,59.20449270317516,6,2,1,48.57318700158212,2,2022,1,6,58,44
4,15,0,1,423,408.11,121.33435457902613,16,3,0,101.53476744649385,3,2022,12,0,403,404
4,1,3,1,227,101.62,21.08755480218224,21,2,1,20.126438014324926,0,2022,9,4,94,96
