store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,0,0,2,118,38.87,76.755,15,1,0,77.49,0,2022,10,3,39,34
4,12,3,1,425,83.93,68.3655,10,1,0,67.15,0,2023,10,5,75,80
0,6,2,1,191,40.86,45.318,5,0,1,43.03,1,2022,9,2,32,35
4,17,2,0,220,35.28,53.865,15,2,1,50.97,3,2022,6,5,24,30
4,7,2,3,407,190.84,86.94,0,0,1,84.38,0,2022,10,0,190,186
4,19,0,3,282,194.94,16.002000000000002,10,2,1,14.17,3,2023,11,5,199,189
2,1,1,3,363,155.79,94.04849999999999,5,3,1,93.47,2,2023,1,5,147,151
1,4,3,3,246,107.96,72.90150000000001,20,0,0,70.82,0,2022,11,3,113,103
2,5,1,3,59,65.75,76.944,15,3,1,74.29,2,2022,7,0,59,53
4,16,1,3,107,2.82,17.576999999999998,0,2,0,11.93,0,2022,1,6,2,6
2,13,0,1,126,32.92,103.91850000000001,20,0,0,99.88,1,2022,6,4,30,26
0,10,2,3,272,194.42,21.367500000000003,5,0,0,19.51,2,2023,9,4,186,188
2,17,2,3,464,402.43,50.914500000000004,10,2,1,49.99,3,2023,4,1,383,398
4,4,4,0,91,79.11,43.1235,5,2,1,38.86,3,2022,3,1,85,73
0,5,1,1,364,259.46,84.91350000000001,15,3,1,84.04,1,2022,12,0,265,256
1,14,1,0,60,43.73,86.8665,5,2,0,84.2,2,2023,12,0,32,38
4,2,4,2,248,193.0,12.621,15,0,1,12.14,3,2023,7,5,184,187
0,16,1,3,456,96.98,85.29150000000001,10,3,1,79.4,0,2023,1,3,106,92
4,12,2,3,396,337.11,44.23650000000001,0,2,1,40.23,0,2022,7,5,340,333
4,18,4,1,410,75.33,76.125,5,2,0,73.48,3,2023,11,2,66,71
4,7,0,2,455,269.34,35.26950000000001,20,0,0,32.85,2,2023,7,6,264,264
1,3,1,2,336,298.58,21.8505,15,0,0,20.04,2,2023,10,1,279,292
4,18,2,0,255,225.31,20.338500000000003,10,1,0,21.93,0,2022,9,3,209,221
1,14,0,3,351,100.02,84.3255,0,3,0,78.24,2,2023,2,2,102,94
3,10,3,1,200,82.26,22.8165,15,3,1,18.25,0,2022,11,2,76,78
0,6,2,1,462,222.08,78.6975,0,2,1,74.72,2,2022,10,6,221,217
3,13,3,2,135,130.74,57.456,5,0,0,56.2,2,2023,9,0,124,125
1,5,3,3,72,37.18,11.3085,5,3,1,9.64,3,2023,10,2,28,32
4,1,2,1,447,137.09,91.077,5,2,0,87.43,1,2022,5,1,136,133
0,5,0,0,96,20.3,46.536,0,3,0,40.38,1,2022,4,3,9,16
2,0,3,3,427,411.51,94.6155,15,3,1,90.36,1,2023,6,5,411,405
0,9,3,0,136,30.29,85.0605,0,0,0,77.88,3,2023,5,0,37,26
4,3,0,1,234,222.15,32.6025,10,3,0,31.99,1,2023,1,2,220,217
1,8,4,0,92,59.61,22.533,15,0,1,23.02,0,2023,1,1,58,56
2,18,0,0,169,107.67,48.55200000000001,5,0,0,47.84,0,2022,1,0,103,103
0,9,3,0,81,36.48,65.79299999999999,15,3,0,60.86,0,2023,6,3,44,31
1,0,4,1,429,354.05,83.6745,10,2,1,84.35,2,2022,11,2,361,350
0,0,2,3,290,257.66,62.23350000000001,20,1,1,61.2,0,2022,6,3,260,254
0,4,0,2,272,259.63,42.987,0,1,1,41.06,0,2023,2,1,250,255
3,0,0,0,83,74.87,63.8295,10,0,0,57.64,3,2023,12,4,72,69
0,3,3,0,55,-8.34,56.23800000000001,0,1,0,56.74,3,2023,8,5,0,2
2,0,3,2,456,66.87,43.6275,10,1,0,40.43,1,2022,6,0,63,62
0,13,1,2,220,206.51,23.646,15,3,1,26.85,3,2022,2,6,215,201
1,5,0,2,80,79.8,76.53450000000001,10,2,0,76.88,3,2023,9,3,70,70
4,7,0,0,399,65.38,35.98350000000001,20,0,0,36.95,1,2023,10,5,52,61
3,2,4,0,387,85.1,88.872,20,1,1,88.58,2,2022,7,1,81,81
1,15,1,0,62,26.03,82.4565,5,2,1,78.8,3,2023,5,6,18,22
1,16,4,2,359,29.8,101.682,10,2,1,92.75,1,2022,10,6,35,21
2,4,2,3,402,301.81,65.10000000000001,20,1,1,62.48,0,2023,5,3,289,295
1,5,4,2,426,111.17,27.573000000000004,20,1,1,26.23,1,2023,9,2,101,106
0,15,0,0,69,7.5,81.5535,10,3,1,76.98,1,2023,8,3,3,9
3,4,2,3,494,220.57,49.045500000000004,20,1,0,47.29,1,2023,4,5,221,215
0,7,2,0,227,142.52,38.472,10,3,0,32.78,2,2023,1,4,133,137
0,5,1,3,480,65.98,103.866,15,0,1,102.5,2,2022,7,0,60,62
2,11,4,3,146,140.64,28.024500000000003,0,2,0,23.01,1,2023,1,1,144,134
3,14,1,1,227,223.12,46.326,10,2,0,44.0,3,2023,7,1,210,215
2,8,0,3,198,58.01,48.1845,10,0,1,44.05,2,2023,12,0,43,53
0,4,4,1,327,239.82,19.719,10,3,1,20.07,2,2022,1,3,229,235
2,19,4,1,402,46.29,93.891,20,2,1,88.97,2,2023,1,6,36,41
2,17,1,3,202,34.17,93.387,10,1,0,88.21,3,2023,4,1,24,29
2,11,1,1,492,221.9,84.96600000000001,20,2,1,82.75,1,2023,7,1,228,216
4,5,4,1,453,315.6,45.402,0,2,0,44.11,3,2022,11,1,302,311
0,11,1,2,94,73.65,84.96600000000001,0,2,1,82.54,0,2022,1,2,70,68
4,6,4,3,397,182.97,55.9125,5,3,1,55.07,0,2022,2,2,185,178
1,1,2,1,117,64.07,72.114,0,1,0,68.92,3,2022,6,3,72,59
3,18,1,3,486,305.48,23.6565,5,2,1,24.53,3,2023,10,4,300,300
1,15,1,1,125,2.21,14.343,10,3,1,11.56,0,2023,8,3,0,6
0,9,3,0,102,36.65,44.1315,15,2,1,37.91,1,2023,2,1,19,31
2,8,4,3,258,102.5,54.3795,20,1,0,53.73,3,2023,2,1,85,96
0,15,0,3,91,69.01,19.4985,15,3,1,17.32,2,2023,8,2,58,65
0,2,2,1,366,190.62,14.553,0,1,1,14.61,2,2022,6,2,174,185
2,18,2,0,275,259.01,41.926500000000004,5,2,0,43.66,1,2022,9,0,244,253
1,12,0,0,327,244.88,89.54400000000001,5,1,0,82.51,0,2022,4,6,233,239
3,17,2,3,206,196.31,67.88250000000001,15,2,0,67.49,1,2023,12,6,202,193
4,16,3,0,334,35.09,28.1295,10,1,1,28.71,1,2023,6,4,29,30
0,4,0,3,120,88.38,31.1115,15,0,0,30.55,1,2022,1,4,92,83
0,6,2,1,210,147.58,87.003,5,2,0,79.5,0,2022,8,0,138,143
1,9,2,0,255,62.79,64.7115,10,0,1,59.93,3,2022,9,4,55,58
1,0,0,0,52,12.38,57.886500000000005,0,0,0,57.65,3,2023,9,6,9,11
2,12,3,2,216,12.52,97.59750000000001,0,0,1,94.22,0,2022,1,5,19,11
2,7,4,0,206,84.55,55.9545,0,0,1,50.32,3,2022,12,5,65,81
3,18,4,2,86,72.17,17.64,0,2,1,15.41,1,2023,7,4,64,68
3,6,3,1,340,94.77,85.4175,10,3,0,80.61,0,2023,5,3,89,91
3,18,0,0,479,54.0,99.309,10,1,0,94.29,2,2023,3,2,42,50
3,11,1,0,311,94.41,45.36000000000001,10,3,0,39.81,2,2022,12,0,94,89
0,10,4,2,426,235.56,78.477,0,0,1,75.46,3,2022,2,2,218,231
4,18,2,1,480,31.74,100.91550000000001,10,0,0,91.44,2,2022,10,3,41,22
3,4,1,1,488,263.63,17.482499999999998,0,2,1,18.15,0,2022,12,4,253,258
0,10,2,1,373,214.74,60.469500000000004,15,3,0,62.5,1,2023,3,0,212,209
3,8,3,3,201,119.93,100.821,0,0,1,99.69,3,2023,10,4,107,112
4,15,2,2,152,119.27,59.419500000000006,10,2,1,52.07,2,2023,11,6,117,113
