store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,4,4,3,301,95.39,41.139,15,2,1,43.2,0,2023,4,5,104,91
4,12,0,1,411,253.19,42.294000000000004,0,1,1,38.32,3,2022,7,3,247,249
0,0,1,2,54,21.62,54.075,20,1,0,50.77,2,2023,5,5,11,15
4,15,2,0,323,136.29,65.142,10,0,0,63.22,1,2022,7,4,137,132
0,4,1,0,259,107.92,58.023,5,3,1,50.75,3,2023,5,0,100,102
2,6,3,1,90,56.49,80.25150000000001,0,3,0,73.45,1,2022,5,5,55,52
3,9,2,3,289,173.44,10.8675,0,2,1,14.3,2,2022,4,6,181,170
3,17,1,0,471,267.55,25.977,15,0,1,20.44,0,2022,12,6,271,263
3,10,2,1,131,122.92,29.6415,10,2,1,23.55,0,2023,7,2,130,117
3,5,4,1,479,340.95,100.80000000000001,20,1,1,99.12,2,2022,9,2,329,335
1,8,4,3,297,276.68,103.8555,0,3,1,102.59,1,2023,3,6,286,267
3,15,2,3,359,188.24,42.063,15,1,1,40.21,3,2022,12,4,179,185
2,12,2,3,287,205.04,75.4845,0,3,0,69.3,3,2023,12,5,212,200
4,19,1,0,252,88.9,100.3275,0,3,1,99.34,3,2023,8,2,73,84
2,18,0,1,272,44.27,41.328,20,0,1,41.03,2,2023,8,6,51,40
4,14,3,0,328,92.71,51.4605,20,1,1,48.32,3,2022,7,4,77,87
2,6,0,1,281,122.14,29.305500000000002,0,3,0,30.38,0,2023,1,4,124,117
4,8,0,3,331,42.82,83.9055,20,3,1,76.97,1,2022,5,2,36,37
1,7,4,2,77,22.59,42.0105,20,3,0,38.42,0,2022,12,0,12,18
2,2,2,3,403,97.24,65.4675,20,0,0,66.89,1,2022,6,4,98,93
4,7,4,2,111,7.83,93.45,5,3,1,89.25,0,2023,7,3,7,10
0,18,1,0,96,90.07,82.78200000000001,15,0,0,75.86,1,2022,2,1,95,83
4,7,2,3,485,268.73,82.908,15,0,0,74.09,0,2022,5,0,249,262
1,11,1,3,476,64.03,32.403,0,2,0,32.71,0,2023,12,4,70,59
3,10,0,2,151,103.2,56.217,5,3,1,49.21,2,2023,10,6,107,98
3,15,2,0,69,51.37,93.093,15,0,0,91.55,2,2023,3,5,41,46
3,7,0,1,266,123.78,59.209500000000006,20,1,1,55.9,3,2022,8,0,126,119
3,0,1,1,470,294.76,67.7145,10,0,1,64.74,1,2022,11,0,279,290
3,18,3,0,415,165.63,12.0015,10,3,0,9.5,3,2022,2,4,164,161
3,8,2,0,419,221.77,53.592,0,3,0,46.67,2,2022,1,0,212,217
4,0,4,1,281,49.18,74.8965,5,3,1,70.07,1,2022,10,2,32,44
4,5,3,1,158,56.42,48.6885,10,0,0,50.16,3,2022,8,2,45,52
2,0,0,3,198,76.23,54.8205,0,2,0,50.47,2,2023,1,5,82,71
0,17,1,0,431,393.37,69.07950000000001,10,0,1,62.15,3,2023,10,4,383,388
2,9,0,3,188,10.03,23.9295,0,1,0,23.02,1,2023,6,1,11,10
1,3,3,1,116,17.63,33.999,20,1,0,29.88,1,2022,12,3,19,13
3,12,3,3,430,116.43,93.912,5,3,1,91.11,3,2022,7,5,99,111
3,4,1,2,457,202.79,50.568,10,3,1,47.35,1,2022,4,5,198,197
2,19,3,3,377,303.28,98.301,20,2,1,92.55,3,2023,1,0,297,298
2,3,1,0,394,349.61,70.32900000000001,0,3,0,66.66,1,2022,12,5,352,344
3,14,4,2,71,65.77,88.7565,15,0,1,80.18,1,2022,10,5,53,59
2,7,3,2,105,35.98,69.2685,10,0,1,60.97,3,2022,3,1,38,31
1,7,2,1,173,21.34,55.261500000000005,20,1,0,56.7,1,2023,2,3,17,15
4,13,4,2,407,72.59,44.289,15,1,0,45.32,1,2022,4,3,60,68
2,0,2,0,143,53.43,18.3015,5,0,1,17.0,2,2023,8,5,42,49
3,0,2,1,444,55.71,89.7645,10,0,0,80.53,3,2022,11,3,52,50
2,16,2,3,314,27.66,91.0245,5,3,0,86.44,3,2022,10,6,15,22
1,2,1,1,254,21.57,12.915000000000001,10,0,1,15.25,1,2023,12,1,22,16
0,15,2,3,474,0.06,56.4375,10,2,1,55.56,2,2023,2,6,5,5
3,3,3,3,433,432.1,81.816,0,2,0,78.46,0,2023,7,5,414,424
4,17,1,3,287,114.09,97.4505,15,1,1,95.97,0,2022,4,0,113,108
0,15,4,3,205,91.99,72.59700000000001,0,2,1,70.47,0,2023,5,4,73,87
3,13,4,1,449,396.83,56.1435,20,3,0,58.17,1,2022,5,6,400,391
4,12,0,0,444,72.75,98.3955,5,3,1,89.42,2,2023,11,1,75,67
4,13,3,0,351,172.26,63.63,15,1,1,61.29,1,2023,6,4,154,167
3,16,2,3,392,247.9,103.32000000000001,15,0,0,98.68,2,2023,10,1,232,242
1,16,0,3,243,223.96,85.806,10,1,0,84.21,3,2022,3,5,217,220
4,13,3,3,304,179.59,37.022999999999996,15,2,1,34.42,1,2022,4,4,169,174
1,3,1,1,445,401.46,69.22650000000002,5,2,0,69.79,3,2023,7,4,399,398
2,0,2,2,206,167.76,67.0635,15,0,1,64.22,2,2023,5,4,173,163
1,10,2,2,165,73.25,99.54,15,2,0,92.26,3,2022,10,4,79,68
1,0,2,1,487,483.8,101.2305,10,0,1,93.27,0,2023,8,2,467,472
2,16,1,2,95,74.62,98.66850000000001,10,0,1,89.41,1,2022,8,3,71,68
3,4,0,3,212,153.37,85.512,0,1,0,77.52,2,2022,12,0,155,148
0,10,0,0,71,76.71,76.7865,5,0,1,73.42,2,2023,5,0,64,65
0,3,2,1,98,101.99,51.6915,20,2,0,50.88,2,2022,4,5,97,89
3,4,3,2,85,52.87,82.8345,5,2,1,79.46,2,2022,10,6,50,49
0,5,1,2,275,100.6,88.60950000000001,0,1,0,86.84,1,2023,5,1,95,95
3,7,0,2,155,99.07,85.638,15,2,0,78.31,3,2022,5,5,101,93
1,9,3,1,257,163.63,86.1945,0,0,1,77.74,3,2023,1,2,156,159
3,9,4,0,460,432.77,14.448,10,2,1,13.79,2,2022,7,0,415,428
3,5,4,3,418,114.02,27.342,5,2,1,27.47,2,2022,2,4,98,108
1,7,1,3,486,198.01,54.36900000000001,10,1,1,49.12,1,2023,11,1,190,193
3,16,4,0,352,249.8,11.718,0,1,0,12.68,0,2022,12,5,259,245
2,5,4,1,356,152.68,12.925500000000001,20,1,1,8.75,3,2023,8,5,160,148
4,2,1,1,381,83.94,52.7415,15,1,1,49.27,3,2023,8,5,70,80
3,3,2,1,477,6.45,95.06700000000001,0,3,0,93.68,3,2023,11,3,2,9
4,11,4,2,324,268.69,74.9805,10,3,0,72.02,0,2023,6,4,269,263
2,0,0,2,497,41.52,74.9175,20,2,0,69.54,2,2022,11,3,28,36
4,15,2,3,388,278.8,70.0035,10,0,1,63.79,2,2022,3,5,267,273
3,13,2,3,253,83.07,34.6605,10,2,0,32.36,3,2023,2,6,76,78
4,16,3,2,89,77.13,59.87100000000001,15,2,0,58.08,0,2022,10,1,78,71
2,9,0,2,74,64.15,88.578,15,0,1,87.27,2,2022,5,0,65,59
3,15,3,1,457,251.49,104.5695,0,3,1,97.63,2,2022,10,5,258,245
0,18,4,0,391,311.02,31.815,15,0,1,25.3,1,2023,9,1,307,306
4,13,3,1,244,188.58,60.868500000000004,5,3,0,60.88,3,2023,12,4,198,185
2,19,0,2,217,78.37,79.95750000000001,15,1,0,72.11,0,2023,4,1,59,73
0,6,2,1,421,416.85,76.4715,0,0,0,74.04,3,2023,3,3,411,409
3,0,0,3,231,141.52,11.707500000000001,5,2,0,6.5,3,2023,2,5,123,136
1,17,0,2,356,98.92,21.2205,20,1,1,20.93,2,2023,5,6,97,93
1,16,4,1,124,83.3,38.682,10,2,1,34.93,1,2023,6,3,89,78
0,17,3,0,134,115.08,19.645500000000002,15,1,0,20.48,3,2022,2,2,103,110
0,13,1,1,213,51.9,55.5345,15,0,0,53.39,3,2022,2,3,46,46
0,2,1,2,158,43.65,59.115,10,0,0,58.72,3,2023,10,2,27,38
1,18,3,2,397,188.23,40.267500000000005,15,0,1,34.29,2,2022,1,4,195,185
3,13,4,0,408,238.28,75.1275,20,0,1,69.87,2,2022,9,3,245,233
