store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,0,3,1,252.1379999229219,138.05,18.708854597774906,18,3,0,17.99,0,2022,9,0,127,133
3,0,0,1,203.38203308699778,271.22,17.54124828760898,8,1,1,19.21,1,2023,8,6,263,254
2,4,2,0,341.2917678514689,307.0,17.242558301287467,13,0,0,22.97,2,2023,10,6,287,303
0,19,1,2,103.08404416738243,95.69,66.30012575166965,13,3,0,73.76,0,2023,6,4,88,89
2,2,0,2,103.08404416738243,-4.32,37.381504348722956,13,3,0,39.85,3,2023,4,5,1,3
1,14,0,1,217.31230932583324,275.66,70.31886374945003,23,0,1,76.53,3,2023,5,3,256,259
3,12,0,3,328.0580054245752,123.92,61.2223959842039,13,3,1,65.24,3,2023,7,4,127,118
2,1,4,1,253.53102754680543,14.99,64.43557614008687,18,3,0,67.09,3,2023,8,2,2,12
2,18,3,2,338.5057126037018,201.33,18.09337220171845,28,3,0,23.74,0,2022,1,2,206,196
2,8,2,3,187.36221541233698,246.42,64.86098309030235,23,1,1,70.5,1,2022,5,4,233,228
0,9,1,2,269.5508452214662,327.9,26.19420667922621,18,0,0,29.23,1,2022,1,0,319,311
0,6,1,3,190.1482706601041,84.53,49.56443530595809,28,3,0,56.28,0,2022,5,0,65,81
3,18,0,2,94.02936461213937,53.05,30.031920442872345,8,1,0,36.77,0,2023,8,0,36,49
0,9,1,1,53.63156351951653,67.69,46.441767267142254,13,1,0,53.99,1,2023,4,3,69,53
3,17,1,1,182.4866187287446,55.37,49.79071559862591,18,1,1,55.46,3,2022,11,6,44,50
2,5,1,1,312.0381877499144,357.52,86.65630088006624,18,0,0,94.29,2,2022,1,0,342,341
1,12,4,1,168.55634248990913,39.94,12.90702789377214,28,1,1,15.99,2,2022,8,4,24,34
0,12,1,3,255.62056898263077,187.38,75.55951532763663,23,2,0,79.39,3,2022,5,0,183,183
2,3,3,3,178.30753585709394,206.42,33.02787151779421,18,0,1,37.55,3,2023,2,6,203,190
2,4,2,0,215.22276789000793,256.2,10.924812530002086,8,1,0,10.77,0,2022,12,0,248,238
1,18,0,3,82.18862980912924,68.37,20.003177871834804,23,0,0,19.41,1,2022,1,1,59,65
1,7,1,2,285.57066289612703,396.77,44.16086191705068,28,2,1,48.5,1,2022,10,1,385,377
0,9,4,0,84.97468505689633,59.63,23.089641063823795,23,0,1,25.49,2,2023,4,4,67,56
3,18,0,1,306.4660772543802,131.52,12.472569731849935,13,2,1,15.62,3,2023,4,4,115,125
4,2,1,2,105.17358560320775,91.57,53.20302241205655,13,3,0,55.14,3,2022,9,3,97,85
3,18,0,0,93.3328508001976,115.65,53.27543210571025,23,2,0,61.26,3,2023,3,2,122,101
4,10,4,2,151.1434971913648,22.76,36.566895295118826,13,1,1,45.06,1,2023,11,0,7,17
1,10,3,0,231.93909937661047,152.03,66.42684271556364,18,3,0,78.03,1,2023,9,5,148,148
4,17,1,0,156.71560768689898,75.02,11.639858254832378,23,1,0,14.13,2,2022,6,0,74,70
3,6,2,0,78.0095469374786,82.67,31.099963424264427,23,3,1,39.18,3,2022,8,0,91,71
