store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,6,4,3,194.68037553880023,56.76,88.70216710885268,7,1,0,91.27475296107876,3,2022,5,1,57,52
0,8,4,3,328.73364450842394,132.16,50.815708652174465,12,0,1,49.18443990006645,3,2022,12,0,120,127
1,16,0,3,226.34119785825908,275.63,30.751229095678212,27,1,1,32.2285730443017,0,2023,4,1,267,258
3,12,0,3,317.9554922294592,227.0,45.751305256096266,27,1,0,52.17798068406223,0,2022,1,3,208,221
0,15,2,2,178.51314712035315,152.62,97.47903570629329,27,2,1,102.44687309455733,3,2023,3,2,152,147
4,14,2,2,249.2447714510591,374.15,22.682518600231592,7,3,1,29.325403302841643,3,2023,11,4,363,355
0,1,1,2,46.48078170303535,43.12,18.058031600846626,27,0,0,16.26678765642988,2,2023,9,6,24,37
0,2,1,0,272.14834504385914,243.06,29.753369951959417,27,1,1,35.12044640544479,2,2023,1,2,240,237
4,0,2,3,41.76534008098828,58.68,85.4939963134557,17,2,0,94.49422135141384,3,2023,6,2,47,47
2,5,0,0,243.18206079414145,148.67,102.74730279840006,17,1,1,109.67655649741506,1,2023,10,0,136,142
0,8,0,3,191.98583746905905,171.32,81.47037073394442,27,0,1,88.68788186849373,1,2022,1,6,169,166
3,11,0,3,191.31220295162376,136.53,85.12918759424667,12,0,1,89.7045560970206,3,2023,5,3,145,132
4,19,1,1,310.54551253767096,254.88,38.63753523152032,17,1,1,42.564761034324846,0,2023,3,5,240,249
3,16,1,2,206.80579685263552,230.48,54.92517157738198,27,1,1,62.94343112613006,1,2022,5,1,226,215
0,19,1,0,319.97639578176506,279.35,39.97874375802408,7,1,0,38.19306185165932,3,2023,4,4,274,274
2,10,0,0,142.13688317884723,77.92,18.959323730657154,17,2,1,23.40610001675188,3,2022,12,4,83,74
1,17,1,1,249.9184059684944,200.03,102.85459948052036,7,3,0,102.96650658913774,3,2022,10,5,187,192
3,18,4,3,164.36682225421197,168.68,20.847745335974448,22,2,0,27.47279693085935,1,2022,5,3,178,158
0,2,0,0,149.54686287063547,42.85,74.10981834049177,17,2,1,74.17203316119345,3,2023,8,5,28,37
3,6,2,1,56.58529946456477,6.6,16.856308761099257,17,2,1,16.673457347840625,3,2023,2,5,8,8
3,15,0,0,313.9136851248474,294.84,68.40163485169177,22,2,0,69.96977968328241,2,2023,11,6,293,290
2,15,3,3,116.53877151630601,80.84,45.04314715410228,17,2,0,51.46630872409342,0,2022,1,5,79,75
1,14,0,2,171.7768019460002,21.92,41.64184233088875,27,0,1,48.48406432041461,0,2023,3,2,4,17
1,8,4,1,213.54214202698847,226.86,51.03030201641507,17,2,0,49.54592407020934,1,2022,11,1,218,212
2,3,3,1,108.45515730708247,130.05,82.06050248560607,22,1,1,85.89767593020333,2,2022,3,4,121,115
4,5,3,3,202.76398974802376,73.1,44.20623303356394,12,0,1,42.33883342798554,3,2022,10,5,57,68
0,8,3,0,313.9136851248474,89.77,101.5455799586527,7,3,1,101.70131199363763,3,2022,11,4,75,84
2,8,2,1,261.3701927648944,127.76,51.66335244092484,7,2,0,59.0348835364601,1,2023,5,6,129,123
2,15,1,2,248.57113693362382,216.72,95.78374812879252,17,0,0,97.52165127636052,2,2022,11,6,206,211
1,13,0,0,264.7383653520709,35.84,48.29423662234739,17,1,0,51.65834718948182,2,2022,1,1,37,31
2,15,1,2,136.07417252192957,160.42,80.08624353459253,7,3,0,83.85303109283264,3,2023,2,4,148,144
1,9,1,0,320.65003029920035,409.79,77.54331216834139,12,0,1,80.44152423710914,1,2022,5,6,415,394
4,8,4,3,187.27039584701197,178.08,26.42717280623009,27,1,1,30.940785688167665,0,2022,1,1,168,171
4,10,2,3,253.9602130731062,104.03,88.46611440818802,22,1,0,97.56683679762838,2,2022,9,1,105,99
0,1,0,3,158.9777461147296,82.55,96.60993258111885,22,3,0,96.6518299919542,2,2022,8,6,73,77
2,6,0,0,287.6419389448709,36.47,80.85877964585869,17,0,1,90.09992940811439,0,2023,3,4,22,31
2,9,4,1,206.13216233520023,77.01,98.72367721888878,7,3,1,105.81319442901297,0,2022,9,5,79,71
0,4,4,2,252.61294403823558,210.5,54.62474086744514,22,3,1,57.88265274412965,0,2023,3,3,204,204
4,0,0,2,293.70464960178856,35.24,76.74931672065117,27,2,0,82.3054269894084,2,2022,11,0,44,31
0,10,1,3,209.5003349223767,154.13,99.05629693346171,27,2,0,100.7411196666956,1,2022,8,4,150,148
3,13,0,3,303.1355328458827,86.32,105.80525823882863,12,1,1,112.59102261919209,1,2023,12,6,86,84
0,13,3,1,56.58529946456477,17.85,46.50238203093838,22,2,0,45.535709057686695,1,2022,10,4,17,14
2,14,0,0,70.73162433070597,73.86,88.94894947772939,7,0,1,90.8454905090341,1,2022,5,0,68,63
0,4,3,0,233.75117755004732,222.86,58.068964363506794,27,1,1,57.58894685588855,2,2022,11,1,210,218
1,7,0,2,200.06945167828258,63.33,58.637636778744394,22,1,1,57.656725137790346,1,2022,3,6,55,58
3,3,1,1,191.98583746905905,192.39,93.93824519632336,12,1,1,95.08163312789604,1,2022,3,3,197,183
4,6,3,1,200.06945167828258,23.66,35.869280832816564,22,2,1,40.03437184332464,2,2023,6,1,5,18
1,16,3,2,121.92784765578838,65.26,87.95109033401057,7,3,1,91.0036398334716,1,2022,12,0,56,61
3,8,1,2,234.42481206748263,243.83,48.60539700049627,17,3,0,51.296863019338936,3,2022,9,4,241,231
2,10,0,0,309.1982435028004,188.25,24.259779827400013,17,2,0,27.856873861636167,3,2022,8,1,177,185
0,10,0,0,86.22521823171775,38.5,58.68055545159251,7,0,0,64.92029768159897,1,2022,12,1,25,34
2,1,4,0,305.1564363981886,59.98,101.45974261295645,27,1,1,110.77230538816069,1,2022,10,5,41,53
3,10,1,0,139.44234510910604,0.81,45.21482184549476,17,0,0,46.59756880748142,3,2023,3,3,10,5
0,12,4,3,261.3701927648944,295.81,96.84598528178351,12,1,0,105.54208130140582,0,2022,8,6,302,284
2,1,3,1,141.46324866141194,162.7,12.618089817347375,27,1,0,10.901007005871412,3,2023,11,0,150,148
1,14,0,2,103.06608116760012,89.65,44.62469009383311,27,0,0,49.22962542133431,3,2023,9,1,92,84
4,14,2,2,105.086984719906,147.38,73.86303597161508,27,2,0,77.97891332801073,0,2023,7,4,150,132
0,17,1,0,105.7606192373413,132.93,70.60121683515793,17,1,1,74.78203769830958,2,2023,9,0,118,118
4,3,3,0,127.31692379527074,129.96,10.783316553090232,7,2,1,13.48787809845644,0,2022,3,3,122,121
0,10,3,1,224.9939288233885,142.04,32.210463972514304,27,3,1,33.68580610519021,0,2022,2,6,124,137
1,16,0,0,262.71746179976503,137.46,30.729769759254154,22,2,1,28.432989257801392,3,2022,11,1,119,133
2,3,0,0,96.32973599324717,50.69,13.980757680275195,12,1,0,16.89938495417993,1,2023,6,4,47,45
2,12,4,2,112.49696441169425,13.85,49.1847990839459,27,1,0,46.981645738258244,0,2022,11,3,2,12
4,4,0,1,204.78489330032966,145.7,27.693273655249637,17,2,0,31.788014211940055,0,2022,1,4,127,140
0,18,0,2,280.90559377051795,425.75,10.912072571634592,7,1,0,10.754154061750864,3,2022,1,1,410,406
0,16,0,0,96.32973599324717,98.6,91.29874681616397,27,2,0,92.66420774006548,1,2022,10,5,94,87
3,12,3,3,278.2110557007768,105.64,10.912072571634592,27,1,1,7.342647206027376,3,2023,1,1,101,100
2,1,1,1,173.79770549830607,173.49,71.695642992785,7,0,0,73.76536346978271,1,2022,9,0,162,165
0,12,4,0,185.2494922947061,158.72,102.62927644806773,12,2,1,106.79597951658894,0,2022,8,0,148,150
4,9,1,3,170.4295329111296,84.06,78.91670969948125,7,0,1,85.12952206864969,3,2023,3,5,82,80
3,0,1,0,94.30883244094129,123.67,41.9100840361895,12,0,0,39.627702151913894,3,2023,6,0,109,109
3,19,2,0,159.6513806321649,107.17,41.48089730770829,27,1,0,45.69385838212421,2,2022,7,1,89,103
2,15,0,1,268.7801724566827,222.86,72.94028450538049,22,3,1,78.216137314667,2,2023,11,2,212,218
4,4,4,1,119.90694410348249,23.82,50.57965595150981,22,0,0,49.88481547971829,2,2023,5,0,7,18
1,11,1,0,230.38300496287084,58.24,79.1098437272978,22,2,1,79.6733703755555,2,2023,2,6,54,53
3,18,2,1,227.68846689312969,178.78,31.49157620230829,22,1,0,36.69064326950294,2,2022,4,3,166,172
0,0,1,1,173.12407098087078,24.89,11.008639585542863,7,2,1,9.30821738117932,1,2022,11,0,16,19
3,8,1,1,216.91031461416495,229.05,88.68070777242863,7,2,0,90.91326879093587,3,2022,9,2,214,216
3,16,1,0,156.9568425624237,126.05,75.41883786235945,22,3,1,84.67766685597108,2,2023,3,1,123,122
0,8,1,2,112.49696441169425,28.21,103.86318829245118,22,2,0,107.38339129307113,1,2024,1,0,22,18
