store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,9,4,1,349,233.96,100.7475,15,3,1,97.94,3,2023,6,6,231,227
4,16,4,0,440,404.6,81.09150000000001,5,0,0,80.72,0,2023,2,5,388,399
3,18,0,3,498,60.23,18.228,10,0,1,13.87,0,2023,1,5,44,52
4,10,1,1,204,-1.33,99.33,10,2,0,98.16,1,2023,6,5,0,5
3,13,4,3,221,58.39,52.416000000000004,20,2,0,50.82,3,2022,11,0,61,53
1,7,4,1,128,80.46,87.801,20,2,1,88.26,0,2022,5,0,61,75
0,3,0,0,179,13.97,13.167,15,0,1,14.77,0,2023,8,5,3,11
3,14,1,2,268,161.86,23.488500000000002,20,0,0,24.21,3,2022,5,6,164,157
4,15,4,3,351,238.31,24.528,0,0,0,24.94,0,2022,7,4,223,232
4,12,4,0,53,15.52,68.355,10,1,0,64.13,3,2023,5,4,24,13
0,14,4,2,80,86.18,12.725999999999999,0,2,0,9.94,2,2023,1,6,72,73
4,13,4,0,343,332.23,100.128,10,2,0,91.8,1,2023,8,2,313,325
3,0,4,0,110,1.84,44.4675,10,3,0,37.45,2,2023,9,4,10,6
1,18,2,3,179,94.94,102.73200000000001,15,1,1,98.02,0,2022,5,4,98,91
4,12,0,3,487,234.58,15.477,20,2,0,15.74,1,2022,7,1,216,229
1,12,4,1,282,233.5,95.1825,20,2,0,87.86,1,2022,7,1,217,229
4,3,4,2,92,86.08,11.193000000000001,10,1,1,9.42,0,2022,8,1,77,80
2,7,1,2,257,140.97,18.732,15,1,0,21.23,3,2023,6,6,136,137
4,12,4,0,119,79.82,89.52300000000001,20,0,1,89.75,0,2023,9,4,63,74
1,5,3,1,189,189.04,53.214,20,0,0,51.81,1,2022,6,4,186,180
1,13,1,2,445,16.66,17.598000000000003,0,1,0,15.47,3,2022,10,1,21,13
0,19,1,3,151,57.1,94.8045,10,2,1,86.31,1,2023,4,2,61,53
0,18,3,1,149,134.81,41.23350000000001,10,2,0,37.15,1,2023,12,0,138,130
0,13,2,2,92,96.69,14.3535,15,1,1,9.75,3,2022,9,4,85,85
1,10,2,3,471,460.18,34.629,20,2,1,34.15,0,2022,11,1,450,454
0,6,2,3,82,30.06,45.517500000000005,5,2,0,44.71,2,2023,6,4,34,26
2,5,1,2,278,273.91,88.67250000000001,20,1,0,80.23,1,2023,2,4,264,266
4,18,4,1,492,135.85,28.539,15,0,0,23.58,0,2022,6,4,119,130
2,12,0,0,360,339.56,63.126,5,0,1,56.24,0,2023,7,3,330,334
1,15,4,3,238,60.77,37.2015,15,0,0,40.14,0,2022,7,6,68,56
3,0,0,1,179,89.08,65.9925,5,2,1,58.8,0,2022,9,3,92,83
4,2,0,0,231,28.11,10.9305,20,3,0,15.38,1,2023,2,5,33,23
2,2,0,2,138,107.96,34.786500000000004,5,0,0,36.61,2,2022,12,5,88,102
4,3,0,1,262,95.25,80.325,5,1,1,78.03,3,2023,3,2,95,91
1,15,2,0,499,198.72,86.34150000000001,15,2,0,78.39,3,2022,8,1,206,193
1,18,1,3,235,123.29,11.3505,5,0,0,6.8,3,2022,12,4,116,120
1,13,3,3,488,285.15,100.53750000000001,10,1,0,98.29,2,2022,3,2,278,280
2,2,4,1,78,20.61,100.0125,20,2,0,98.63,1,2023,12,2,10,15
1,19,0,2,274,228.78,25.2525,5,0,0,28.13,1,2023,4,5,209,224
2,7,1,0,358,326.62,71.001,20,3,1,67.29,0,2023,11,1,322,322
4,17,4,3,258,146.48,16.779,15,1,1,11.26,0,2022,2,6,143,141
4,5,4,0,411,404.12,59.178000000000004,10,3,0,57.64,2,2022,11,3,411,398
2,8,0,1,342,134.86,82.0575,15,3,0,77.68,1,2023,1,2,144,131
3,8,2,1,458,76.2,59.1885,5,3,1,51.71,1,2022,3,2,63,71
1,10,2,0,250,43.16,40.70850000000001,10,3,0,36.8,3,2023,6,0,44,38
4,16,0,1,478,459.34,14.175,20,1,0,18.4,2,2022,5,4,440,454
1,3,4,2,484,130.19,103.74,10,1,0,98.95,0,2023,3,4,135,122
1,4,1,1,437,369.27,77.0805,5,1,1,76.24,3,2023,2,0,379,366
1,17,2,2,153,8.09,29.053500000000003,15,1,0,29.39,0,2022,5,6,3,9
1,3,4,2,354,76.05,39.3435,20,3,1,36.18,0,2023,12,1,61,71
