store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,5,2,1,8.471190718298253,29.53,236.1381647896425,68,2,1,19.08005998480786,0,2022,12,4,37,21
3,18,2,3,14.137351397424899,252.45,316.2861784501138,78,2,0,28.51168054547993,3,2023,6,4,241,237
4,3,2,1,12.84703757940596,47.58,94.5335545738892,80,2,1,9.856919100543223,1,2022,1,2,29,40
3,3,3,3,15.034961009959812,222.11,387.4799268481515,78,1,0,33.815403513284906,2,2022,2,0,228,207
0,14,2,0,14.642256804475787,117.46,334.3904306200616,63,0,1,28.77436493775329,0,2022,11,3,114,100
4,5,3,3,6.56377029166156,59.04,198.70640016799385,73,2,1,18.50048648439521,0,2022,1,0,62,46
3,17,2,2,11.27622075746986,18.5,229.97293296960626,80,3,0,21.619342443450343,0,2022,7,2,19,13
3,0,3,0,20.925524092220186,158.57,374.7090895066478,63,0,1,31.33866495756466,1,2023,4,6,161,140
0,5,4,0,20.53281988673616,7.06,350.6842575730145,63,0,0,28.22397859203768,1,2022,4,4,8,7
0,6,3,3,3.4221366477893604,43.87,352.59254361254955,80,2,1,28.91613111771034,2,2022,6,4,34,36
1,9,1,2,12.454333373921935,188.24,333.3139615721187,73,1,0,30.02524299619786,3,2023,3,2,193,173
2,1,0,1,20.757222289869887,222.81,409.84112479860045,63,1,1,36.9217506917556,0,2022,6,4,221,207
3,5,3,2,4.039243256407113,19.38,177.07915838659682,80,2,1,16.474064029715006,3,2022,2,5,19,12
4,14,2,2,10.098108141017784,155.45,247.97932431701375,78,0,1,20.63114877727913,1,2023,5,0,163,137
4,9,1,3,17.839991049131417,303.5,207.31815255153654,68,3,0,18.450451362057425,0,2023,6,6,290,284
3,4,3,1,5.4417582759929175,-4.77,116.84582211306802,73,0,0,11.937546271089358,2,2023,1,0,4,1
2,9,0,0,9.70540393553376,101.38,197.38527906370038,68,1,0,14.835413773152615,2,2023,7,1,88,84
3,17,4,2,20.757222289869887,182.5,230.65795872738806,73,0,0,17.891725829285516,0,2023,6,1,168,166
