store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
2,11,4,3,357,177.08,95.62349999999999,15,1,1,91.97,0,2022,8,1,179,171
0,18,2,2,142,113.68,25.273500000000002,20,1,0,25.61,0,2022,4,0,104,108
3,13,0,0,231,64.41,66.885,10,2,0,66.31,1,2022,4,3,53,60
3,16,2,2,479,142.8,48.709500000000006,0,3,1,47.65,3,2022,7,2,137,137
2,17,2,2,392,225.63,57.4245,15,3,0,53.05,2,2023,12,0,209,221
2,2,2,1,70,37.31,11.0775,20,1,0,7.09,3,2023,3,6,33,33
4,5,4,3,359,255.25,82.69800000000001,5,0,1,79.03,3,2022,8,3,247,249
4,8,3,1,420,181.88,74.2245,5,1,1,73.15,2,2022,1,0,177,176
0,16,1,3,240,113.14,26.953500000000002,5,3,1,25.58,3,2022,11,5,121,107
2,7,0,2,476,82.16,17.8185,20,3,0,17.84,1,2023,3,2,73,78
0,2,4,1,438,101.84,14.637,15,2,1,15.65,3,2023,6,5,82,96
1,2,4,0,477,432.23,79.11749999999999,5,0,0,73.57,3,2023,5,0,434,428
1,2,2,1,89,81.91,96.64200000000001,5,1,0,91.5,0,2023,1,3,62,75
2,10,1,1,302,135.84,46.032000000000004,5,3,1,45.59,1,2023,9,3,116,131
3,8,4,2,468,412.67,21.808500000000002,20,2,0,21.21,0,2022,9,0,401,407
0,5,2,2,340,40.38,56.8995,10,1,0,49.94,1,2023,12,6,50,35
3,11,1,3,333,95.44,60.17550000000001,5,2,1,59.44,1,2023,10,1,77,91
2,15,4,1,242,203.41,59.115,15,3,1,54.88,0,2023,7,0,196,198
3,6,0,3,302,134.36,34.8915,10,0,1,37.7,1,2022,8,3,120,130
0,7,3,1,215,94.79,36.708000000000006,5,3,0,32.64,0,2023,11,0,93,91
2,12,3,0,96,49.73,60.58500000000001,5,0,1,55.54,3,2022,9,6,59,45
0,12,0,2,462,147.61,86.877,10,2,0,85.39,3,2023,1,2,148,143
4,9,3,2,497,295.02,38.6925,10,2,1,35.3,0,2022,12,0,305,290
0,15,4,0,238,187.85,16.642500000000002,0,2,1,18.29,0,2023,9,0,168,183
4,2,0,1,120,40.04,91.65450000000001,20,3,1,83.79,1,2023,12,6,23,34
1,8,0,1,211,37.99,13.125,10,0,0,12.93,0,2023,6,5,42,33
0,1,0,3,316,302.44,33.747,10,0,0,27.37,3,2022,2,2,310,295
3,3,2,3,184,165.24,96.64200000000001,0,2,0,96.6,1,2023,2,0,165,160
2,6,3,0,145,47.01,53.361000000000004,10,1,0,50.2,2,2022,6,5,42,42
0,19,1,1,81,50.41,59.1465,15,2,0,60.18,1,2023,9,0,33,45
1,5,3,0,470,411.58,66.276,10,0,0,66.61,0,2022,2,0,400,406
1,5,3,1,258,211.37,52.584,0,3,0,54.18,3,2023,1,6,201,207
3,13,1,1,87,52.16,93.3555,10,1,1,91.22,0,2023,2,2,35,48
3,10,2,1,108,89.12,36.729,10,1,0,36.59,0,2023,6,5,74,83
3,10,2,3,255,190.7,102.7215,20,2,1,95.31,1,2022,9,1,186,185
2,4,0,1,161,133.6,42.903,10,3,0,36.48,3,2022,6,6,129,129
3,9,4,2,163,146.73,73.79400000000001,5,2,1,66.58,3,2023,7,5,150,142
3,6,4,1,469,402.1,13.377,10,2,0,8.13,0,2023,10,4,411,396
0,19,1,1,250,100.14,80.3985,10,1,1,79.61,1,2022,6,4,93,94
0,1,2,2,233,114.69,89.3655,10,3,0,86.03,2,2022,2,3,97,109
1,14,0,3,351,100.02,84.3255,0,3,0,78.24,2,2023,2,2,102,94
0,11,2,2,286,84.79,51.8805,10,3,0,48.05,3,2023,2,4,94,80
3,7,0,1,322,164.71,53.949000000000005,5,1,0,49.25,1,2022,7,1,168,160
1,8,4,3,205,72.15,82.572,20,1,1,79.67,1,2023,10,4,81,68
3,17,0,2,385,137.82,46.0635,20,1,1,42.67,3,2023,11,5,123,133
3,18,3,3,50,56.19,50.442,20,2,0,47.67,3,2023,6,5,40,46
4,17,3,1,426,186.32,90.5205,0,3,0,85.33,1,2023,9,1,188,181
1,11,1,1,157,154.12,71.3685,0,3,0,69.14,1,2023,8,4,151,145
3,5,4,2,136,120.17,37.600500000000004,5,1,1,37.56,0,2022,8,1,120,114
2,0,2,1,403,198.51,89.124,20,2,0,85.51,3,2022,10,6,185,194
0,2,0,1,386,2.64,100.66350000000001,15,2,1,100.49,3,2022,9,1,0,6
2,18,2,0,178,160.39,81.96300000000001,5,3,0,77.19,1,2022,1,3,150,156
2,8,0,3,230,140.11,44.688,10,1,1,41.34,2,2022,9,2,133,135
2,11,4,1,360,277.02,51.01950000000001,0,3,1,50.36,3,2022,4,3,268,271
3,9,4,0,375,171.07,94.374,10,2,1,86.28,0,2023,6,3,166,167
0,0,4,3,185,16.37,25.1265,10,1,1,25.74,0,2022,5,2,19,13
2,3,4,0,150,10.24,58.8525,5,3,1,60.05,3,2022,1,3,3,9
1,0,4,1,376,282.37,18.648000000000003,20,0,0,16.72,2,2022,8,6,273,278
3,17,1,1,110,27.98,99.98100000000001,20,2,0,93.99,1,2023,2,1,18,21
4,14,4,1,459,346.77,37.926,0,2,0,39.17,0,2022,5,3,355,341
1,19,3,1,142,52.01,32.529,15,2,0,33.7,2,2022,3,3,45,47
0,10,2,3,355,147.32,12.411000000000001,10,0,1,13.55,2,2023,4,2,145,142
2,19,2,2,163,121.32,75.34800000000001,15,3,1,72.8,0,2022,11,3,106,115
4,12,3,3,207,117.1,72.9225,20,0,1,67.71,0,2023,7,0,125,112
2,3,4,2,101,73.41,93.95400000000001,0,3,1,85.25,1,2022,12,6,76,68
3,14,3,2,424,284.23,40.3515,10,0,0,41.1,2,2022,11,2,289,279
3,15,3,3,202,135.78,78.8235,20,0,0,75.31,1,2023,8,1,123,130
2,16,0,2,438,205.9,74.487,20,1,1,65.98,1,2022,3,1,193,199
1,2,0,0,233,206.11,44.037,15,2,1,44.15,0,2023,10,4,190,199
0,1,3,1,62,47.71,79.72650000000002,0,2,0,71.55,3,2023,2,0,31,43
2,1,1,0,198,106.97,36.855000000000004,10,3,0,37.82,2,2022,11,0,95,102
0,8,4,0,371,331.07,81.92099999999999,5,0,0,78.92,2,2022,2,1,312,326
2,0,4,0,292,84.64,77.637,5,2,0,69.51,0,2022,2,3,84,81
