store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
3,14,4,2,261.4697556435987,199.73,83.6764695723336,18,1,0,81.52125164435049,3,2022,1,0,196,194
2,2,3,1,149.68661686721993,177.53,52.15253907707107,8,2,1,55.513405335031294,1,2023,4,6,161,163
4,19,2,1,161.89282167613484,174.02,94.3731529823518,8,2,1,98.26322742427794,3,2022,1,2,181,162
0,2,1,2,180.5233448055313,172.62,48.76575259349057,3,3,0,54.255456024749634,0,2022,8,6,163,167
2,19,3,0,145.832025874931,210.38,31.136585413562713,23,2,1,29.64874024802058,0,2023,3,6,209,193
0,19,4,2,168.95957182866454,227.04,36.96662548940364,8,3,0,33.24872526606241,2,2022,11,5,212,209
0,13,3,2,109.85584328023435,174.65,29.02108535197137,23,0,1,32.49191023386043,3,2023,10,2,162,159
0,15,1,3,151.61391236336436,186.24,83.64667379681823,23,1,1,89.32462826016274,0,2022,8,6,167,171
3,12,3,1,129.77123007372714,110.55,22.525606289620487,23,3,1,28.21692802493577,0,2023,12,6,105,105
0,15,1,1,236.41491419372073,69.67,89.87399087953077,23,2,0,88.80303952175326,2,2023,2,5,51,65
1,3,1,2,265.9667784679358,404.34,62.014940772658875,18,3,0,66.41563269080568,1,2022,2,5,412,387
0,17,2,1,111.14070694433066,154.58,16.626042737577027,23,2,0,15.954479057230808,0,2022,9,5,160,138
2,18,2,0,244.12409617829857,352.92,68.13300667848172,13,3,1,72.84856046452246,2,2023,11,3,353,334
2,15,3,2,129.77123007372714,173.36,58.10176225497348,8,1,1,58.7758917576317,0,2022,3,4,171,158
2,12,4,3,141.97743488264206,162.55,76.12820644177296,3,0,1,82.87124602611617,0,2022,5,1,150,148
1,10,4,0,112.42557060842697,110.04,15.166049737323847,13,0,1,16.537431176629628,2,2022,10,1,119,100
3,6,2,3,97.64963847131943,151.52,17.023319744448642,23,2,1,19.626054686426873,1,2023,4,0,142,135
4,8,4,0,111.14070694433066,3.59,30.11359712086831,13,0,0,28.70783507285056,1,2023,11,6,12,7
4,5,3,1,50.75211473180418,73.82,19.744667241519192,13,2,1,22.6124058945752,0,2022,8,5,62,56
0,9,2,1,219.06925472842056,338.4,74.50930263877112,13,0,1,75.96786566481438,1,2022,4,2,332,322
2,5,0,0,217.78439106432424,37.22,67.57681886886147,3,0,1,67.52017354861397,0,2022,6,5,30,32
3,18,3,0,307.08241571901766,405.89,36.28132265255011,8,3,0,41.91118921572554,2,2023,2,4,397,387
2,2,0,2,224.2087093848058,108.48,88.86093451200816,13,2,0,92.48484238111423,2,2023,9,4,97,103
4,1,3,3,91.86775198288603,124.07,75.80045291110386,18,1,0,74.54628067189446,1,2022,1,4,124,110
2,8,3,2,46.89752373951525,27.34,15.444143642133978,3,0,0,18.940830265379137,2,2023,11,3,29,23
3,6,4,1,132.34095740191975,202.18,14.997207009403411,8,3,0,14.880619889917195,1,2022,6,6,193,185
0,17,1,3,275.6032559486581,348.14,64.61710516766794,23,0,1,61.69065235462579,0,2023,4,6,347,329
2,12,3,2,267.2516421320321,321.31,90.55929371638432,3,1,0,97.49618516191109,3,2023,11,0,319,307
1,11,1,2,88.65559282264527,63.2,73.58563359779463,13,3,0,71.19174917781002,0,2023,4,2,49,58
0,6,1,3,67.45534236505618,27.0,41.217489462929905,3,3,1,38.536203261311336,0,2022,4,4,21,23
1,13,1,3,45.612660075418944,46.03,87.61944386553436,13,2,1,93.70188277073632,2,2023,2,4,38,40
1,2,3,0,119.49232076095667,49.89,47.20644034151948,18,0,0,46.48276109943207,3,2022,6,0,50,45
0,13,1,3,149.68661686721993,66.43,39.28076405443079,13,1,0,38.8225657059283,2,2023,2,2,48,61
1,6,2,0,159.32309434794223,97.09,31.106789638047342,13,2,0,30.927144018632024,1,2022,9,1,86,92
3,9,0,2,127.84393457758267,141.68,21.41323067037997,13,2,0,22.21354391814443,2,2022,11,1,151,128
0,15,4,2,204.93575442336117,43.88,66.43464747410557,18,0,0,72.36788064677256,2,2022,1,1,48,39
