store_id,product_id,category,region,inventory_level,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day_of_week,target,prediction
0,0,3,1,231,135.47,33.5,20,1,0,29.69,0,2022,1,5,127,130
0,1,4,2,204,144.04,63.01,20,3,0,66.16,0,2022,1,5,150,140
0,2,4,3,102,74.02,27.99,10,3,1,31.32,2,2022,1,5,65,68
0,3,4,1,469,62.18,32.72,10,0,1,34.74,0,2022,1,5,61,57
0,4,1,0,166,9.26,73.64,0,3,0,68.95,2,2022,1,5,14,9
0,5,3,2,138,139.82,76.83,10,3,1,79.35,3,2022,1,5,128,130
0,6,2,0,359,108.92,34.16,10,1,1,36.55,3,2022,1,5,97,104
0,7,0,1,380,329.73,97.99,5,0,0,100.09,1,2022,1,5,312,325
0,8,1,3,183,174.15,20.74,10,0,0,17.66,0,2022,1,5,175,168
0,9,4,2,108,24.47,59.99,0,1,1,61.21,3,2022,1,5,28,19
0,10,2,2,258,152.74,58.53,10,3,1,61.42,1,2022,1,5,150,148
0,11,0,3,66,26.75,58.25,20,2,0,62.21,1,2022,1,5,24,21
0,12,4,2,96,41.46,43.6,0,0,0,46.31,1,2022,1,5,42,37
0,13,0,3,193,6.8,78.11,0,3,0,80.06,1,2022,1,5,12,9
0,14,0,1,379,363.46,92.99,15,2,0,95.8,3,2022,1,5,369,358
0,15,1,1,363,255.74,21.9,5,0,1,20.27,0,2022,1,5,255,249
0,16,4,3,318,255.37,21.07,20,3,0,16.49,3,2022,1,5,246,249
0,17,0,2,241,147.27,19.57,5,0,0,23.13,0,2022,1,5,151,142
0,18,0,0,352,267.38,73.28,10,0,0,77.26,3,2022,1,5,257,263
0,19,4,0,274,115.23,30.24,5,0,0,27.1,1,2022,1,5,99,110
1,0,3,2,343,112.55,32.8,20,3,1,30.78,1,2022,1,5,104,107
1,1,0,3,373,135.62,46.16,10,1,1,45.21,3,2022,1,5,141,130
1,2,2,0,445,176.31,20.46,20,2,1,22.0,1,2022,1,5,182,170
1,3,4,3,191,54.57,26.19,0,0,0,28.06,0,2022,1,5,63,50
1,4,4,3,281,150.9,83.29,20,1,0,80.64,0,2022,1,5,156,147
1,5,2,1,492,242.57,85.59,20,0,0,86.82,3,2022,1,5,250,237
